etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,1,2,83,0.296,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,84,0.33299999999999996,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,2,85,0.33299999999999996,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,86,0.037,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,3,87,0.75,1,6,6,1700.0,409.0,1404.9999999999998,1700.0,0.0,113.99999999999977
FW,1,3,88,0.25,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,1,3,89,0.6666666,1,6,6,652.5000000000001,0.0,652.5000000000001,652.5000000000001,0.0,0.0
FW,1,3,90,0.3333333,1,6,6,1588.0000000000002,0.0,1588.0,1588.0000000000002,-2.2737367544323206e-13,0.0
FW,1,3,91,0.3333333,1,6,6,1700.0,0.0,1884.0000000000005,1700.0,0.0,184.00000000000045
FW,1,3,92,0.6666666,1,6,6,920.5000000000002,0.0,920.5000000000002,920.5000000000002,0.0,0.0
FW,1,3,3,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,1,4,93,0.5000001000000001,1,6,6,970.9999999999998,113.99999999999977,857.0,970.9999999999998,0.0,0.0
FW,1,4,94,0.3333334,1,6,6,1477.4999999999998,113.99999999999977,1363.5,1477.4999999999998,0.0,0.0
FW,1,4,95,0.1666667,1,6,6,1241.9999999999998,113.99999999999977,1128.0,1241.9999999999998,0.0,0.0
FW,1,4,7,0.5,1,6,6,1700.0,1090.0,1691.0,1700.0,0.0,1081.0
FW,1,4,10,0.5,1,6,6,1700.0,1090.0,1129.0,1700.0,0.0,519.0
FW,1,4,96,0.5000001000000001,1,6,6,370.66666666666663,0.0,370.66666666666663,370.66666666666663,0.0,0.0
FW,1,4,97,0.3333334,1,6,6,847.0,0.0,847.0,847.0,0.0,0.0
FW,1,4,98,0.1666667,1,6,6,577.0,0.0,577.0,577.0,0.0,0.0
FW,1,4,58,0.3333333,1,6,6,842.0,0.0,842.0,842.0,0.0,0.0
FW,1,4,61,0.3333333,1,6,6,1169.0,0.0,1169.0,1169.0,0.0,0.0
FW,1,4,64,0.3333333,1,6,6,619.0,0.0,619.0,619.0,0.0,0.0
FW,1,4,31,0.3333333,1,6,6,1225.0000000000005,184.00000000000045,1041.0,1225.0000000000005,0.0,0.0
FW,1,4,34,0.3333333,1,6,6,1545.0000000000005,184.00000000000045,1361.0,1545.0000000000005,0.0,0.0
FW,1,4,37,0.3333333,1,6,6,989.0000000000005,184.00000000000045,805.0,989.0000000000005,0.0,0.0
FW,1,4,99,0.5000001000000001,1,6,6,540.6666666666666,0.0,540.6666666666666,540.6666666666666,0.0,0.0
FW,1,4,100,0.1666667,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,1,4,101,0.3333334,1,6,6,1036.5,0.0,1036.5,1036.5,0.0,0.0
FW,1,4,4,1.0,1,6,6,1700.0,1090.0,1378.0,1700.0,0.0,768.0
FW,2,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,2,2,83,0.296,1,6,6,1500.0,0.0,2109.0,1500.0,0.0,608.9999999999999
FW,2,2,84,0.33299999999999996,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
FW,2,2,85,0.33299999999999996,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,2,2,86,0.037,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,2,3,87,0.75,1,6,6,1418.333333333333,608.9999999999999,1404.9999999999998,1418.333333333333,-1.1368683772161603e-13,595.6666666666666
FW,2,3,88,0.25,1,6,6,1700.0,608.9999999999999,2381.0,1700.0,0.0,1290.0
FW,2,3,89,0.6666666,1,6,6,255.66666666666652,706.0,652.5000000000001,255.66666666666652,0.0,1102.8333333333335
