etapa,iter,est,node,prob,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CustoFuturo
FW,4,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,48194.1639041895
FW,4,2,83,0.296,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,2109.0,0.0,608.9999999999998,4999.9999999999945,9778.750000000005
FW,4,2,84,0.33299999999999996,2000.0,686.5555555555557,1313.4444444444443,0.0,0.0,1313.4444444444443,0.0,-1.2900985918508063e-13,10596.66666666667,32907.2189315
FW,4,2,85,0.37,2000.0,1950.0999999999976,49.90000000000214,0.0,0.0,756.8,0.0,706.8999999999978,48502.99999999994,30775.00000000005
FW,4,3,86,0.5,2000.0,500.0,1500.0,0.0,0.0,1281.0,608.9999999999998,389.9999999999995,5000.0,8557.500000000011
FW,4,3,87,0.5,2000.0,300.0,1700.0,0.0,0.0,2017.0,608.9999999999998,926.0,3000.0,3000.0
FW,4,3,88,0.5555555,2000.0,1590.6999999999998,409.3000000000004,0.0,0.0,963.8000000000001,-1.2900985918508063e-13,554.4999999999995,37720.999999999985,13487.000000000011
FW,4,3,89,0.4444444,2000.0,500.0,1500.0,0.0,0.0,2008.25,-1.2900985918508063e-13,508.24999999999966,5000.0,5031.2500000000055
FW,4,3,90,0.5,2000.0,1266.1000000000017,733.8999999999982,0.0,0.0,589.0000000000001,706.8999999999978,561.9999999999998,27983.00000000006,13814.000000000004
FW,4,3,91,0.5,2000.0,500.0000000000023,1499.9999999999977,0.0,0.0,1287.6000000000001,706.8999999999978,494.5000000000002,5000.000000000067,14752.999999999995
FW,4,4,92,0.5,2000.0,406.00000000000045,1593.9999999999995,0.0,0.0,1204.0,389.9999999999995,0.0,4060.0000000000045,0.0
FW,4,4,93,0.5,2000.0,768.5000000000005,1231.4999999999995,0.0,0.0,841.5,389.9999999999995,0.0,13055.000000000015,0.0
FW,4,4,94,0.5,2000.0,300.0,1700.0,0.0,0.0,1569.0,926.0,795.0,3000.0,0.0
FW,4,4,95,0.5,2000.0,300.0,1700.0,0.0,0.0,1008.5,926.0,234.5,3000.0,0.0
FW,4,4,96,0.6000000000000001,2000.0,971.5000000000005,1028.4999999999995,0.0,0.0,474.0,554.4999999999995,0.0,19145.00000000001,0.0
FW,4,4,97,0.4,2000.0,500.00000000000045,1499.9999999999995,0.0,0.0,945.5,554.4999999999995,0.0,5000.000000000015,0.0
FW,4,4,98,0.5,2000.0,300.0,1700.0,0.0,0.0,1369.5,508.24999999999966,177.74999999999955,3000.0,0.0
FW,4,4,99,0.5,2000.0,568.7500000000005,1431.2499999999995,0.0,0.0,923.0,508.24999999999966,0.0,7062.500000000013,0.0
FW,4,4,100,0.4,2000.0,500.0000000000002,1499.9999999999998,0.0,0.0,938.0,561.9999999999998,0.0,5000.0000000000055,0.0
FW,4,4,101,0.6000000000000001,2000.0,989.666666666667,1010.333333333333,0.0,0.0,448.3333333333333,561.9999999999998,0.0,19690.00000000001,0.0
FW,4,4,102,0.6000000000000001,2000.0,1041.8333333333333,958.1666666666669,0.0,0.0,463.66666666666663,494.5000000000002,0.0,21254.999999999993,0.0
FW,4,4,103,0.4,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,1005.5,494.5000000000002,0.0,4999.9999999999945,0.0
