etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,1,2,83,0.296,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,84,0.33299999999999996,1,6,6,1313.4444444444443,0.0,1313.4444444444443,1313.4444444444443,0.0,0.0
FW,1,2,85,0.37,1,6,6,756.8,0.0,756.8,756.8,0.0,0.0
FW,1,3,86,0.5,1,6,6,1690.0000000000002,409.0,1281.0,1690.0000000000002,-2.2737367544323206e-13,0.0
FW,1,3,87,0.5,1,6,6,1700.0,409.0,2017.0,1700.0,0.0,726.0
FW,1,3,88,0.5555555,1,6,6,963.8000000000001,0.0,963.8000000000001,963.8000000000001,0.0,0.0
FW,1,3,89,0.4444444,1,6,6,1700.0,0.0,2008.25,1700.0,0.0,308.25
FW,1,3,90,0.5,1,6,6,589.0000000000001,0.0,589.0000000000001,589.0000000000001,0.0,0.0
FW,1,3,91,0.5,1,6,6,1287.6000000000001,0.0,1287.6000000000001,1287.6000000000001,0.0,0.0
FW,1,4,92,0.5,1,6,6,1204.0,0.0,1204.0,1204.0,0.0,0.0
FW,1,4,93,0.5,1,6,6,841.5,0.0,841.5,841.5,0.0,0.0
FW,1,4,94,0.5,1,6,6,1700.0,726.0,1569.0,1700.0,0.0,595.0
FW,1,4,95,0.5,1,6,6,1700.0,726.0,1008.5,1700.0,0.0,34.5
FW,1,4,96,0.6000000000000001,1,6,6,474.0,0.0,474.0,474.0,0.0,0.0
FW,1,4,97,0.4,1,6,6,945.5,0.0,945.5,945.5,0.0,0.0
FW,1,4,98,0.5,1,6,6,1677.75,308.25,1369.5,1677.75,0.0,0.0
FW,1,4,99,0.5,1,6,6,1231.25,308.25,923.0,1231.25,0.0,0.0
FW,1,4,100,0.4,1,6,6,938.0,0.0,938.0,938.0,0.0,0.0
FW,1,4,101,0.6000000000000001,1,6,6,448.3333333333333,0.0,448.3333333333333,448.3333333333333,0.0,0.0
FW,1,4,102,0.6000000000000001,1,6,6,463.66666666666663,0.0,463.66666666666663,463.66666666666663,0.0,0.0
FW,1,4,103,0.4,1,6,6,1005.5,0.0,1005.5,1005.5,0.0,0.0
FW,2,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,2,2,83,0.296,1,6,6,1500.0000000000002,0.0,2109.0,1500.0000000000002,-1.1368683772161603e-13,608.9999999999999
FW,2,2,84,0.33299999999999996,1,6,6,1313.4444444444443,0.0,1313.4444444444443,1313.4444444444443,0.0,-1.4235570668698553e-13
FW,2,2,85,0.37,1,6,6,0.0,0.0,756.8,0.0,0.0,756.8
FW,2,3,86,0.5,1,6,6,1246.0833333333335,608.9999999999999,1281.0,1246.0833333333335,0.0,643.9166666666666
FW,2,3,87,0.5,1,6,6,1700.0,608.9999999999999,2017.0,1700.0,0.0,926.0
FW,2,3,88,0.5555555,1,6,6,0.0,-1.4235570668698553e-13,963.8000000000001,0.0,0.0,963.8
FW,2,3,89,0.4444444,1,6,6,1500.0,-1.4235570668698553e-13,2008.25,1500.0,0.0,508.24999999999983
FW,2,3,90,0.5,1,6,6,323.3333333333337,756.8,589.0000000000001,323.3333333333337,0.0,1022.4666666666666
FW,2,3,91,0.5,1,6,6,1058.1333333333337,756.8,1287.6000000000001,1058.1333333333337,0.0,986.2666666666667
FW,2,4,92,0.5,1,6,6,1700.0,643.9166666666666,1204.0,1700.0,0.0,147.91666666666652
FW,2,4,93,0.5,1,6,6,1485.4166666666665,643.9166666666666,841.5,1485.4166666666665,0.0,0.0
FW,2,4,94,0.5,1,6,6,1700.0,926.0,1569.0,1700.0,0.0,795.0
FW,2,4,95,0.5,1,6,6,1700.0,926.0,1008.5,1700.0,0.0,234.5
FW,2,4,96,0.6000000000000001,1,6,6,1437.8,963.8,474.0,1437.8,0.0,0.0
FW,2,4,97,0.4,1,6,6,1700.0,963.8,945.5,1700.0,0.0,209.29999999999995
