etapa,iter,est,node,prob,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CustoFuturo
FW,1,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,0.0
FW,1,2,83,0.296,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,0.0
FW,1,2,84,0.33299999999999996,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,0.0
FW,1,2,85,0.33299999999999996,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,0.0
FW,1,2,86,0.037,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,0.0
FW,1,3,87,0.625,2000.0,300.0,1700.0,0.0,0.0,1944.1999999999998,409.0,653.1999999999998,3000.0,0.0
FW,1,3,88,0.375,2000.0,434.0,1566.0,0.0,0.0,1157.0,409.0,0.0,4340.0,0.0
FW,1,3,89,0.6666666,2000.0,1347.5,652.5000000000001,0.0,0.0,652.5000000000001,0.0,0.0,30425.0,0.0
FW,1,3,90,0.3333333,2000.0,411.9999999999998,1588.0000000000002,0.0,0.0,1588.0,0.0,0.0,4119.9999999999945,0.0
FW,1,3,91,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1884.0000000000005,0.0,184.00000000000045,3000.0,0.0
FW,1,3,92,0.6666666,2000.0,1079.4999999999995,920.5000000000002,0.0,0.0,920.5000000000002,0.0,0.0,22384.999999999993,0.0
FW,1,3,3,1.0,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,0.0
FW,1,4,93,1.0,2000.0,300.0,1700.0,0.0,0.0,1256.6,653.1999999999998,209.79999999999973,3000.0,0.0
FW,1,4,94,0.9999998999999999,2000.0,1012.3333333333335,987.6666666666667,0.0,0.0,987.6666666666667,0.0,0.0,20370.0,0.0
FW,1,4,95,1.0000002,2000.0,1436.1666666666665,563.8333333333335,0.0,0.0,563.8333333333335,0.0,0.0,33085.0,0.0
FW,1,4,96,0.9999998999999999,2000.0,1123.3333333333335,876.6666666666667,0.0,0.0,876.6666666666667,0.0,0.0,23700.0,0.0
FW,1,4,97,0.9999998999999999,2000.0,746.9999999999995,1253.0000000000005,0.0,0.0,1069.0,184.00000000000045,0.0,12409.999999999987,0.0
FW,1,4,98,1.0000002,2000.0,1254.0,746.0000000000001,0.0,0.0,746.0000000000001,0.0,0.0,27619.999999999996,0.0
FW,1,4,4,1.0,2000.0,300.0,1700.0,0.0,0.0,1378.0,1090.0,768.0,3000.0,0.0
FW,2,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,48331.98702475619
FW,2,2,83,0.296,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,609.0,5000.0,10271.25
