iter,est,no,usina,Indep,Coef
1,4,10,6,3000.0,0.0
1,4,28,6,28220.0,-30.0
1,4,19,6,23360.0,-30.0
1,4,52,6,21110.0,-30.0
1,4,37,6,25850.0,-30.0
1,4,64,6,31429.999999999993,-30.0
1,4,46,6,33080.0,-30.0
1,4,73,6,38420.00000000001,-30.0
1,3,9,6,6000.0,0.0
1,3,27,6,43510.0,-30.0
1,3,18,6,23770.0,-30.0
1,3,51,6,49990.0,-30.0
1,3,36,6,19330.0,-30.0
1,3,63,6,33789.99999999999,-30.0
1,3,45,6,48970.0,-30.0
1,3,72,6,63310.00000000001,-30.0
1,2,26,6,20620.0,-15.000000000000004
1,2,50,6,50460.0,-30.0
1,2,62,6,55380.0,-30.0
1,2,71,6,87350.000478,-30.0
1,1,1,6,107161.67015917401,-30.0
2,4,10,6,3000.0,0.0
2,4,28,6,12739.999999999993,-9.999999999999998
2,4,19,6,3000.0,0.0
2,4,52,6,10369.999999999995,-9.999999999999998
2,4,37,6,11950.0,-9.999999999999998
2,4,64,6,13809.99999999999,-9.999999999999998
2,4,46,6,14359.999999999998,-9.999999999999998
2,4,73,6,16139.999999999998,-9.999999999999998
2,3,9,6,6000.0,0.0
2,3,27,6,43510.0,-30.0
2,3,18,6,6000.0,0.0
2,3,51,6,49990.0,-30.0
2,3,36,6,13109.999999999996,-9.999999999999996
2,3,63,6,33789.99999999999,-30.0
2,3,45,6,48970.0,-30.0
2,3,72,6,63310.000000000015,-30.0
2,2,26,6,20620.0,-15.000000000000004
2,2,50,6,50460.0,-30.0
2,2,62,6,55380.0,-30.0
2,2,71,6,87350.000478,-30.0
2,1,1,6,107161.67015917401,-30.0
3,4,10,6,3000.0,0.0
3,4,28,6,28220.0,-30.0
3,4,19,6,11120.0,-9.999999999999998
3,4,52,6,21110.0,-30.0
3,4,37,6,25849.999999999996,-30.0
3,4,64,6,31430.0,-30.0
3,4,46,6,33080.0,-30.0
3,4,73,6,38420.0,-30.0
3,3,9,6,6000.0,0.0
3,3,27,6,43510.0,-30.0
3,3,18,6,14589.999999999996,-9.999999999999996
3,3,51,6,49989.99999999999,-30.0
3,3,36,6,19329.999999999993,-30.0
3,3,63,6,33789.999999999985,-30.0
3,3,45,6,48970.0,-30.0
3,3,72,6,63310.000000000015,-30.0
3,2,26,6,20620.0,-15.000000000000004
3,2,50,6,50460.0,-30.0
3,2,62,6,55380.0,-30.0
3,2,71,6,87350.000478,-30.0
3,1,1,6,107161.67015917401,-30.0
