etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,4,3,36,0.5,1,6,6,1500.0000000000007,311.00000000000034,1884.0,1500.0000000000007,0.0,694.9999999999999
FW,4,3,63,0.5,1,6,6,1018.0000000000005,311.00000000000034,1588.0,1018.0000000000005,0.0,881.0
FW,4,3,45,0.3333333,1,6,6,907.0,706.0,1137.0,907.0,0.0,936.0
FW,4,3,72,0.6666667,1,6,6,428.9999999999996,706.0,837.0,428.9999999999996,0.0,1114.0000000000002
FW,4,4,10,1.0,1,6,6,1700.0,1290.0,1129.0,1700.0,0.0,719.0
FW,4,4,28,1.0,1,6,6,1500.0000000000002,774.0000000000002,726.0,1500.0000000000002,0.0,0.0
FW,4,4,19,1.0,1,6,6,1500.0,612.0,888.0,1500.0,0.0,0.0
FW,4,4,52,1.0,1,6,6,1500.0000000000002,537.0000000000002,963.0,1500.0000000000002,0.0,0.0
FW,4,4,37,1.0,1,6,6,1500.0,694.9999999999999,805.0,1500.0,0.0,0.0
FW,4,4,64,1.0,1,6,6,1500.0,881.0,619.0,1500.0,0.0,0.0
FW,4,4,46,1.0,1,6,6,1500.0,936.0,564.0,1500.0,0.0,0.0
FW,4,4,73,1.0,1,6,6,1500.0000000000002,1114.0000000000002,386.0,1500.0000000000002,0.0,0.0
