etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
BK,1,4,89,0.4285713,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,89,0.4285713,1,ANGRA2,2,150.0,20.0,3000.0
BK,1,4,89,0.4285713,1,ANGRA2,3,150.0,30.0,4500.0
BK,1,4,89,0.4285713,1,ANGRA2,4,150.0,40.0,6000.0
BK,1,4,90,0.5714284,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,90,0.5714284,1,ANGRA2,2,322.2,20.0,6444.0
BK,1,4,90,0.5714284,1,ANGRA2,3,322.2,30.0,9666.0
BK,1,4,90,0.5714284,1,ANGRA2,4,322.2,40.0,12888.0
BK,1,4,91,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,91,0.5000001000000001,1,ANGRA2,2,44.9,20.0,898.0
BK,1,4,91,0.5000001000000001,1,ANGRA2,3,44.9,30.0,1347.0
BK,1,4,91,0.5000001000000001,1,ANGRA2,4,44.9,40.0,1796.0
BK,1,4,92,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,92,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,92,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,92,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,93,0.4285713,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,93,0.4285713,1,ANGRA2,2,103.2,20.0,2064.0
BK,1,4,93,0.4285713,1,ANGRA2,3,103.2,30.0,3096.0
BK,1,4,93,0.4285713,1,ANGRA2,4,103.2,40.0,4128.0
BK,1,4,94,0.5714284,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,94,0.5714284,1,ANGRA2,2,246.1,20.0,4922.0
BK,1,4,94,0.5714284,1,ANGRA2,3,246.1,30.0,7383.0
BK,1,4,94,0.5714284,1,ANGRA2,4,246.1,40.0,9844.0
BK,1,4,95,0.5714284,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,95,0.5714284,1,ANGRA2,2,341.3,20.0,6826.0
BK,1,4,95,0.5714284,1,ANGRA2,3,341.3,30.0,10239.0
BK,1,4,95,0.5714284,1,ANGRA2,4,341.3,40.0,13652.0
BK,1,4,96,0.4285713,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,96,0.4285713,1,ANGRA2,2,182.9,20.0,3658.0
BK,1,4,96,0.4285713,1,ANGRA2,3,182.9,30.0,5487.0
BK,1,4,96,0.4285713,1,ANGRA2,4,182.9,40.0,7316.0
BK,1,3,85,0.5384617,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,85,0.5384617,1,ANGRA2,2,496.8,20.0,9936.0
BK,1,3,85,0.5384617,1,ANGRA2,3,496.8,30.0,14904.0
BK,1,3,85,0.5384617,1,ANGRA2,4,496.8,40.0,19872.0
BK,1,3,86,0.4615386,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,86,0.4615386,1,ANGRA2,2,0.0,20.0,0.0
BK,1,3,86,0.4615386,1,ANGRA2,3,0.0,30.0,0.0
BK,1,3,86,0.4615386,1,ANGRA2,4,0.0,40.0,0.0
BK,1,3,87,0.5000002,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,87,0.5000002,1,ANGRA2,2,222.1,20.0,4442.0
BK,1,3,87,0.5000002,1,ANGRA2,3,222.1,30.0,6663.0
BK,1,3,87,0.5000002,1,ANGRA2,4,222.1,40.0,8884.0
BK,1,3,88,0.5000002,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,88,0.5000002,1,ANGRA2,2,214.7,20.0,4294.0
BK,1,3,88,0.5000002,1,ANGRA2,3,214.7,30.0,6441.0
BK,1,3,88,0.5000002,1,ANGRA2,4,214.7,40.0,8588.0
BK,1,2,83,0.48099999999999987,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,2,83,0.48099999999999987,1,ANGRA2,2,-0.0,20.0,-0.0
BK,1,2,83,0.48099999999999987,1,ANGRA2,3,-0.0,30.0,-0.0
BK,1,2,83,0.48099999999999987,1,ANGRA2,4,-0.0,40.0,-0.0
BK,1,2,84,0.5179999999999999,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,2,84,0.5179999999999999,1,ANGRA2,2,500.0,20.0,10000.0
BK,1,2,84,0.5179999999999999,1,ANGRA2,3,500.0,30.0,15000.0
BK,1,2,84,0.5179999999999999,1,ANGRA2,4,500.0,40.0,20000.0
BK,1,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
BK,1,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
BK,1,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
BK,2,4,89,0.4285713,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,89,0.4285713,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,89,0.4285713,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,89,0.4285713,1,ANGRA2,4,0.0,40.0,0.0
BK,2,4,90,0.5714284,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,4,90,0.5714284,1,ANGRA2,2,18.3,20.0,366.0
BK,2,4,90,0.5714284,1,ANGRA2,3,18.3,30.0,549.0
BK,2,4,90,0.5714284,1,ANGRA2,4,18.3,40.0,732.0
BK,2,4,91,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,91,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,91,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,91,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,2,4,92,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,92,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,92,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,92,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
BK,2,4,93,0.4285713,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,93,0.4285713,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,93,0.4285713,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,93,0.4285713,1,ANGRA2,4,0.0,40.0,0.0
BK,2,4,94,0.5714284,1,ANGRA1,1,350.8,10.0,3508.0
BK,2,4,94,0.5714284,1,ANGRA2,2,-0.0,20.0,-0.0
BK,2,4,94,0.5714284,1,ANGRA2,3,-0.0,30.0,-0.0
BK,2,4,94,0.5714284,1,ANGRA2,4,-0.0,40.0,-0.0
BK,2,4,95,0.5714284,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,4,95,0.5714284,1,ANGRA2,2,12.3,20.0,246.0
BK,2,4,95,0.5714284,1,ANGRA2,3,12.3,30.0,369.0
BK,2,4,95,0.5714284,1,ANGRA2,4,12.3,40.0,492.0
BK,2,4,96,0.4285713,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,96,0.4285713,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,96,0.4285713,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,96,0.4285713,1,ANGRA2,4,0.0,40.0,0.0
BK,2,3,85,0.5384617,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,3,85,0.5384617,1,ANGRA2,2,133.8,20.0,2676.0
BK,2,3,85,0.5384617,1,ANGRA2,3,133.8,30.0,4014.0000000000005
BK,2,3,85,0.5384617,1,ANGRA2,4,133.8,40.0,5352.0
BK,2,3,86,0.4615386,1,ANGRA1,1,324.0,10.0,3240.0
BK,2,3,86,0.4615386,1,ANGRA2,2,0.0,20.0,0.0
BK,2,3,86,0.4615386,1,ANGRA2,3,0.0,30.0,0.0
BK,2,3,86,0.4615386,1,ANGRA2,4,0.0,40.0,0.0
BK,2,3,87,0.5000002,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,3,87,0.5000002,1,ANGRA2,2,0.0,20.0,0.0
BK,2,3,87,0.5000002,1,ANGRA2,3,0.0,30.0,0.0
BK,2,3,87,0.5000002,1,ANGRA2,4,0.0,40.0,0.0
BK,2,3,88,0.5000002,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,3,88,0.5000002,1,ANGRA2,2,0.0,20.0,0.0
BK,2,3,88,0.5000002,1,ANGRA2,3,0.0,30.0,0.0
BK,2,3,88,0.5000002,1,ANGRA2,4,0.0,40.0,0.0
BK,2,2,83,0.48099999999999987,1,ANGRA1,1,500.0,10.0,5000.0
BK,2,2,83,0.48099999999999987,1,ANGRA2,2,-0.0,20.0,-0.0
