etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
FW,4,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,4,2,26,0.444,1,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,609.0,5000.0,15.0
FW,4,2,71,0.555,1,2000.0,1900.9999999999993,99.0000000000006,0.0,0.0,706.0,0.0,606.9999999999994,47029.999999999985,30.0
FW,4,3,9,0.5,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,609.0,1290.0,3000.0,10.0
FW,4,3,27,0.5,1,2000.0,845.9999999999995,1154.0000000000005,0.0,0.0,1157.0,609.0,611.9999999999999,15379.999999999987,30.0
FW,4,3,63,0.4,1,2000.0,500.0,1500.0,0.0,0.0,1588.0,606.9999999999994,694.9999999999999,5000.0,30.0
FW,4,3,72,0.6,1,2000.0,1492.000000000001,507.9999999999994,0.0,0.0,837.0,606.9999999999994,936.0000000000001,34760.000000000015,30.0
FW,4,4,10,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,1290.0,719.0,3000.0,10.0
FW,4,4,52,0.5,1,2000.0,300.0,1700.0,0.0,0.0,963.0,1290.0,553.0,3000.0,10.0
FW,4,4,19,0.5,1,2000.0,500.0,1500.0,0.0,0.0,888.0,611.9999999999999,0.0,5000.0,30.0
FW,4,4,28,0.5,1,2000.0,662.0,1338.0,0.0,0.0,726.0,611.9999999999999,0.0,9860.0,30.0
FW,4,4,37,0.5,1,2000.0,500.0,1500.0,0.0,0.0,805.0,694.9999999999999,0.0,5000.0,30.0
FW,4,4,64,0.5,1,2000.0,686.0,1314.0,0.0,0.0,619.0,694.9999999999999,0.0,10580.0,30.0
FW,4,4,46,0.3333333,1,2000.0,500.0,1500.0,0.0,0.0,564.0,936.0000000000001,0.0,5000.0,30.0
FW,4,4,73,0.6666667,1,2000.0,678.0,1322.0,0.0,0.0,386.0,936.0000000000001,0.0,10339.999999999998,30.0
