"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"1";"avaliaArvores/A_25_10_2";"BKAssimetrico";3;250;1;114,29;114,448;1,96;3,117;111,173;117,407;35,559;35,497;33,483;37,911;562,789;438,998;0,732;0,732;-0,779;-0,812;0,61;0,01;1;0,954;0,073;0,124;0,958;0,968;0,999
"2";"avaliaArvores/A_25_10_2";"BKAssimetrico";3;250;2;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"3";"avaliaArvores/A_25_10_2";"BKAssimetrico";3;250;6;599,318;599,95;1,96;19,404;579,914;618,722;221,38;222,794;208,456;236,024;562,789;438,998;0,067;0,065;-0,979;-0,984;3,168;0,02;1;0,971;0,085;0,072;0,971;0,881;0,716
"4";"avaliaArvores/A_25_10_2";"BKAssimetrico";3;250;7;130,332;130,14;1,96;4,171;126,161;134,503;47,589;47,253;44,811;50,737;562,789;438,998;-1,125;-1,144;-0,103;-0,093;1,116;0,028;1;0,958;0,127;0,132;0,966;0,895;0,464
"5";"avaliaArvores/A_25_10_2";"BKAssimetrico";3;250;8;31,402;31,34;1,96;1,036;30,366;32,438;11,817;11,803;11,128;12,599;562,789;438,998;-1,232;-1,224;0,006;-0,022;0,178;0,014;1;0,946;0,121;0,158;0,957;0,983;0,325
"6";"avaliaArvores/A_25_10_2";"BKAssimetrico";3;250;9;14,344;14,286;1,96;0,532;13,812;14,876;6,064;6,059;5,71;6,466;562,789;438,998;-1,134;-1,111;-0,075;-0,133;0,13;0,014;1;0,902;0,118;0,192;0,921;0,987;0,556
"7";"avaliaArvores/A_25_10_2";"BKAssimetrico";3;250;10;38,392;38,332;1,96;1,298;37,094;39,69;14,811;14,853;13,946;15,791;562,789;438,998;-1,198;-1,181;-0,043;-0,081;0,264;0,012;1;0,958;0,141;0,183;0,977;0,965;0,229
"8";"avaliaArvores/A_25_10_2";"BKAssimetrico";3;250;11;79,58;79,428;1,96;2,457;77,123;82,037;28,033;27,973;26,397;29,888;562,789;438,998;-1,07;-1,071;-0,166;-0,185;0,48;0,024;1;0,944;0,249;0,191;0,961;0,972;0,106
"9";"avaliaArvores/A_25_10_2";"BKAssimetrico";3;250;12;184,836;185,504;1,96;5,579;179,257;190,415;63,649;63,646;59,934;67,86;562,789;438,998;-0,895;-0,922;-0,385;-0,37;1,348;0,038;0,99;0,892;0,564;0,629;0,902;1;0,006
"10";"avaliaArvores/A_25_10_2";"BKAssimetrico";3;250;14;53,566;53,65;1,96;1,263;52,303;54,829;14,406;14,507;13,565;15,359;562,789;438,998;-0,031;-0,035;-1,06;-1,036;0,224;0,006;1;0,94;0,241;0,08;0,956;0,859;0,411
