etapa,iter,est,node,prob,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CustoFuturo
BK,1,4,95,0.9999998999999999,2000.0,1123.3333333333335,876.6666666666667,0.0,0.0,876.6666666666667,0.0,0.0,23700.0,0.0
BK,1,4,96,0.9999998999999999,2000.0,747.0,1253.0,0.0,0.0,1069.0,184.0,0.0,12409.999999999998,0.0
BK,1,4,97,0.9999998999999999,2000.0,1374.6666666666665,625.3333333333335,0.0,0.0,625.3333333333335,0.0,0.0,31239.999999999996,0.0
BK,1,4,98,0.9999998999999999,2000.0,1497.6666666666665,502.33333333333337,0.0,0.0,502.33333333333337,0.0,0.0,34930.0,0.0
BK,1,4,99,0.9999998999999999,2000.0,1326.333333333333,673.6666666666667,0.0,0.0,673.6666666666667,0.0,0.0,29789.999999999996,0.0
BK,1,4,100,0.9999998999999999,2000.0,1181.6666666666665,818.3333333333335,0.0,0.0,818.3333333333335,0.0,0.0,25449.999999999996,0.0
BK,1,4,101,1.0,2000.0,875.9999999999998,1124.0000000000002,0.0,0.0,1059.6000000000001,64.40000000000009,0.0,16279.999999999993,0.0
BK,1,4,102,1.0,2000.0,300.0,1700.0,0.0,0.0,1331.5,908.0,539.5,3000.0,0.0
BK,1,3,87,0.5000001000000001,2000.0,1202.0,797.9999999999998,0.0,0.0,1587.9999999999998,0.0,790.0,26060.0,0.0
BK,1,3,88,0.5000001000000001,2000.0,713.6666666666667,1286.3333333333333,0.0,0.0,1884.0,0.0,597.6666666666667,11410.000000000002,0.0
BK,1,3,89,0.5000001000000001,2000.0,1163.0,837.0,0.0,0.0,837.0,0.0,0.0,24890.0,31239.996875999994
BK,1,3,90,0.5000001000000001,2000.0,1532.0,468.0,0.0,0.0,468.0,0.0,0.0,35960.0,34929.996506999996
BK,1,3,91,0.5000001000000001,2000.0,1296.0,704.0,0.0,0.0,704.0,0.0,0.0,28880.000000000004,29789.997020999996
BK,1,3,92,0.5000001000000001,2000.0,1711.3333333333335,288.66666666666674,0.0,0.0,1137.0,0.0,848.3333333333331,41340.0,0.0
BK,1,3,93,0.5555555,2000.0,842.6666666666665,1157.3333333333335,0.0,0.0,1355.4,409.0,607.0666666666665,15279.999999999996,0.0
BK,1,3,94,0.4444444,2000.0,300.0,1700.0,0.0,0.0,2199.0,409.0,908.0,3000.0,3000.0
BK,1,2,83,0.222,2000.0,1664.5000000000002,335.4999999999999,0.0,0.0,959.9999999999999,0.0,624.5,39935.0,0.0
BK,1,2,84,0.222,2000.0,2000.0,0.0,0.0,0.0,705.9999999999999,0.0,705.9999999999999,50000.0,42330.005157499356
BK,1,2,85,0.222,2000.0,2000.0,0.0,0.0,0.0,1213.9999999999998,0.0,1213.9999999999998,50000.0,13585.001227499706
BK,1,2,86,0.33299999999999996,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,608.9999999999999,5000.0,7822.221440000003
BK,1,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,47748.50115698979
BK,2,4,95,0.9999998999999999,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,876.6666666666667,790.0,0.0,3333.3333333333326,0.0
