etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,2,2,86,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,86,0.33299999999999996,1,ANGRA2,2,0.0,20.0,0.0
FW,2,2,86,0.33299999999999996,1,ANGRA2,3,0.0,30.0,0.0
FW,2,2,86,0.33299999999999996,1,ANGRA2,4,0.0,40.0,0.0
FW,2,3,87,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,87,0.5000001000000001,1,ANGRA2,2,25.8,20.0,516.0
FW,2,3,87,0.5000001000000001,1,ANGRA2,3,25.8,30.0,774.0
FW,2,3,87,0.5000001000000001,1,ANGRA2,4,25.8,40.0,1032.0
FW,2,3,88,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,3,88,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,2,3,88,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,2,3,88,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,2,3,89,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,89,0.5000001000000001,1,ANGRA2,2,332.8,20.0,6656.0
FW,2,3,89,0.5000001000000001,1,ANGRA2,3,332.8,30.0,9984.0
FW,2,3,89,0.5000001000000001,1,ANGRA2,4,332.8,40.0,13312.0
FW,2,3,90,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,90,0.5000001000000001,1,ANGRA2,2,496.8,20.0,9936.0
FW,2,3,90,0.5000001000000001,1,ANGRA2,3,496.8,30.0,14904.0
FW,2,3,90,0.5000001000000001,1,ANGRA2,4,496.8,40.0,19872.0
FW,2,3,91,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,91,0.5000001000000001,1,ANGRA2,2,191.7,20.0,3834.0
FW,2,3,91,0.5000001000000001,1,ANGRA2,3,191.7,30.0,5751.0
FW,2,3,91,0.5000001000000001,1,ANGRA2,4,191.7,40.0,7668.0
FW,2,3,92,0.5000001000000001,1,ANGRA1,1,497.3,10.0,4973.0
FW,2,3,92,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,2,3,92,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,2,3,92,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,2,3,93,0.5555555,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,93,0.5555555,1,ANGRA2,2,47.6,20.0,952.0
FW,2,3,93,0.5555555,1,ANGRA2,3,47.6,30.0,1428.0
FW,2,3,93,0.5555555,1,ANGRA2,4,47.6,40.0,1904.0
FW,2,3,94,0.4444444,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,3,94,0.4444444,1,ANGRA2,2,0.0,20.0,0.0
FW,2,3,94,0.4444444,1,ANGRA2,3,0.0,30.0,0.0
FW,2,3,94,0.4444444,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,95,0.9999998999999999,1,ANGRA1,1,333.3,10.0,3333.0
FW,2,4,95,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,95,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,95,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,96,0.9999998999999999,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,96,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,96,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,96,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,97,0.9999998999999999,1,ANGRA1,1,333.3,10.0,3333.0
FW,2,4,97,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,97,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,97,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,98,0.9999998999999999,1,ANGRA1,1,333.3,10.0,3333.0
FW,2,4,98,0.9999998999999999,1,ANGRA2,2,-0.0,20.0,-0.0
FW,2,4,98,0.9999998999999999,1,ANGRA2,3,-0.0,30.0,-0.0
FW,2,4,98,0.9999998999999999,1,ANGRA2,4,-0.0,40.0,-0.0
FW,2,4,99,0.9999998999999999,1,ANGRA1,1,333.3,10.0,3333.0
FW,2,4,99,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,99,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,99,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,100,0.9999998999999999,1,ANGRA1,1,333.3,10.0,3333.0
FW,2,4,100,0.9999998999999999,1,ANGRA2,2,-0.0,20.0,-0.0
FW,2,4,100,0.9999998999999999,1,ANGRA2,3,-0.0,30.0,-0.0
FW,2,4,100,0.9999998999999999,1,ANGRA2,4,-0.0,40.0,-0.0
FW,2,4,101,1.0,1,ANGRA1,1,333.3,10.0,3333.0
FW,2,4,101,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,2,4,101,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,2,4,101,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,2,4,102,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,102,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,102,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,102,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,3,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,3,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,3,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,3,2,83,0.222,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,83,0.222,1,ANGRA2,2,287.4,20.0,5748.0
FW,3,2,83,0.222,1,ANGRA2,3,287.4,30.0,8622.0
FW,3,2,83,0.222,1,ANGRA2,4,287.4,40.0,11496.0
FW,3,2,84,0.222,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,84,0.222,1,ANGRA2,2,500.0,20.0,10000.0
FW,3,2,84,0.222,1,ANGRA2,3,500.0,30.0,15000.0
FW,3,2,84,0.222,1,ANGRA2,4,500.0,40.0,20000.0
FW,3,2,85,0.222,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,85,0.222,1,ANGRA2,2,443.6,20.0,8872.0
FW,3,2,85,0.222,1,ANGRA2,3,443.6,30.0,13308.0
FW,3,2,85,0.222,1,ANGRA2,4,443.6,40.0,17744.0
FW,3,2,86,0.33299999999999996,1,ANGRA1,1,476.0,10.0,4760.0
FW,3,2,86,0.33299999999999996,1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,2,86,0.33299999999999996,1,ANGRA2,3,-0.0,30.0,-0.0
FW,3,2,86,0.33299999999999996,1,ANGRA2,4,-0.0,40.0,-0.0
FW,3,3,87,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,87,0.5000001000000001,1,ANGRA2,2,71.0,20.0,1420.0
FW,3,3,87,0.5000001000000001,1,ANGRA2,3,71.0,30.0,2130.0
FW,3,3,87,0.5000001000000001,1,ANGRA2,4,71.0,40.0,2840.0
FW,3,3,88,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,3,88,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,88,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,88,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,89,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,89,0.5000001000000001,1,ANGRA2,2,277.2,20.0,5544.0
FW,3,3,89,0.5000001000000001,1,ANGRA2,3,277.2,30.0,8316.0
FW,3,3,89,0.5000001000000001,1,ANGRA2,4,277.2,40.0,11088.0
FW,3,3,90,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,90,0.5000001000000001,1,ANGRA2,2,441.2,20.0,8824.0
FW,3,3,90,0.5000001000000001,1,ANGRA2,3,441.2,30.0,13236.0
FW,3,3,90,0.5000001000000001,1,ANGRA2,4,441.2,40.0,17648.0
FW,3,3,91,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,91,0.5000001000000001,1,ANGRA2,2,192.6,20.0,3852.0
FW,3,3,91,0.5000001000000001,1,ANGRA2,3,192.6,30.0,5778.0
FW,3,3,91,0.5000001000000001,1,ANGRA2,4,192.6,40.0,7704.0
FW,3,3,92,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,92,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,92,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,92,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,93,0.5555555,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,93,0.5555555,1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,3,93,0.5555555,1,ANGRA2,3,-0.0,30.0,-0.0
FW,3,3,93,0.5555555,1,ANGRA2,4,-0.0,40.0,-0.0
FW,3,3,94,0.4444444,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,3,94,0.4444444,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,94,0.4444444,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,94,0.4444444,1,ANGRA2,4,0.0,40.0,0.0
FW,3,4,95,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,4,95,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,3,4,95,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,3,4,95,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,3,4,96,0.9999998999999999,1,ANGRA1,1,424.7,10.0,4247.0
FW,3,4,96,0.9999998999999999,1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,4,96,0.9999998999999999,1,ANGRA2,3,-0.0,30.0,-0.0
FW,3,4,96,0.9999998999999999,1,ANGRA2,4,-0.0,40.0,-0.0
FW,3,4,97,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,4,97,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,3,4,97,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,3,4,97,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,3,4,98,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,4,98,0.9999998999999999,1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,4,98,0.9999998999999999,1,ANGRA2,3,-0.0,30.0,-0.0
FW,3,4,98,0.9999998999999999,1,ANGRA2,4,-0.0,40.0,-0.0
FW,3,4,99,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,4,99,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,3,4,99,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,3,4,99,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,3,4,100,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,4,100,0.9999998999999999,1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,4,100,0.9999998999999999,1,ANGRA2,3,-0.0,30.0,-0.0
FW,3,4,100,0.9999998999999999,1,ANGRA2,4,-0.0,40.0,-0.0
FW,3,4,101,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,4,101,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,4,101,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,3,4,101,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,3,4,102,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,4,102,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,3,4,102,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,3,4,102,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,4,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,4,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,4,2,83,0.222,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,83,0.222,1,ANGRA2,2,195.7,20.0,3914.0
FW,4,2,83,0.222,1,ANGRA2,3,195.7,30.0,5871.0
FW,4,2,83,0.222,1,ANGRA2,4,195.7,40.0,7828.0
FW,4,2,84,0.222,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,84,0.222,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,2,84,0.222,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,2,84,0.222,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,2,85,0.222,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,85,0.222,1,ANGRA2,2,443.6,20.0,8872.0
FW,4,2,85,0.222,1,ANGRA2,3,443.6,30.0,13308.0
FW,4,2,85,0.222,1,ANGRA2,4,443.6,40.0,17744.0
FW,4,2,86,0.33299999999999996,1,ANGRA1,1,476.0,10.0,4760.0
FW,4,2,86,0.33299999999999996,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,2,86,0.33299999999999996,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,2,86,0.33299999999999996,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,3,87,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,87,0.5000001000000001,1,ANGRA2,2,162.8,20.0,3256.0
FW,4,3,87,0.5000001000000001,1,ANGRA2,3,162.8,30.0,4884.0
FW,4,3,87,0.5000001000000001,1,ANGRA2,4,162.8,40.0,6512.0
FW,4,3,88,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,88,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,88,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,88,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,89,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,89,0.5000001000000001,1,ANGRA2,2,277.2,20.0,5544.0
FW,4,3,89,0.5000001000000001,1,ANGRA2,3,277.2,30.0,8316.0
FW,4,3,89,0.5000001000000001,1,ANGRA2,4,277.2,40.0,11088.0
FW,4,3,90,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,90,0.5000001000000001,1,ANGRA2,2,441.2,20.0,8824.0
FW,4,3,90,0.5000001000000001,1,ANGRA2,3,441.2,30.0,13236.0
FW,4,3,90,0.5000001000000001,1,ANGRA2,4,441.2,40.0,17648.0
FW,4,3,91,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,91,0.5000001000000001,1,ANGRA2,2,192.6,20.0,3852.0
FW,4,3,91,0.5000001000000001,1,ANGRA2,3,192.6,30.0,5778.0
FW,4,3,91,0.5000001000000001,1,ANGRA2,4,192.6,40.0,7704.0
FW,4,3,92,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,92,0.5000001000000001,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,3,92,0.5000001000000001,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,3,92,0.5000001000000001,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,3,93,0.5555555,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,93,0.5555555,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,3,93,0.5555555,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,3,93,0.5555555,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,3,94,0.4444444,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,3,94,0.4444444,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,94,0.4444444,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,94,0.4444444,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,95,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,95,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,95,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,95,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,96,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,96,0.9999998999999999,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,96,0.9999998999999999,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,96,0.9999998999999999,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,97,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,97,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,97,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,97,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,98,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,98,0.9999998999999999,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,98,0.9999998999999999,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,98,0.9999998999999999,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,99,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,99,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,99,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,99,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,100,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,100,0.9999998999999999,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,100,0.9999998999999999,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,100,0.9999998999999999,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,101,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,101,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,101,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,101,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,102,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,102,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,102,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,102,1.0,1,ANGRA2,4,0.0,40.0,0.0
