etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,1,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,1,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,1,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,1,2,2,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,2,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,2,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,2,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,5,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,5,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,5,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,5,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,8,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,8,0.04167,1,ANGRA2,2,264.7,20.0,5294.0
FW,1,2,8,0.04167,1,ANGRA2,3,264.7,30.0,7941.0
FW,1,2,8,0.04167,1,ANGRA2,4,264.7,40.0,10588.0
FW,1,2,11,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,11,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,11,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,11,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,14,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,14,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,14,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,14,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,17,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,17,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,17,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,17,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,20,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,20,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,20,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,20,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,23,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,23,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,23,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,23,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,26,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,26,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,26,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,26,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,29,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,29,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,29,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,29,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,32,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,32,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,32,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,32,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,35,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,35,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,35,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,35,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,38,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,38,0.04167,1,ANGRA2,2,264.7,20.0,5294.0
FW,1,2,38,0.04167,1,ANGRA2,3,264.7,30.0,7941.0
FW,1,2,38,0.04167,1,ANGRA2,4,264.7,40.0,10588.0
FW,1,2,41,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,41,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,41,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,41,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,44,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,44,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,44,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,44,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,47,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,47,0.04167,1,ANGRA2,2,264.7,20.0,5294.0
FW,1,2,47,0.04167,1,ANGRA2,3,264.7,30.0,7941.0
FW,1,2,47,0.04167,1,ANGRA2,4,264.7,40.0,10588.0
FW,1,2,50,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,50,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,50,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,50,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,53,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,53,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,53,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,53,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,56,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,56,0.04167,1,ANGRA2,2,264.7,20.0,5294.0
FW,1,2,56,0.04167,1,ANGRA2,3,264.7,30.0,7941.0
FW,1,2,56,0.04167,1,ANGRA2,4,264.7,40.0,10588.0
FW,1,2,59,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,59,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,59,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,59,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,62,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,62,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,62,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,62,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,65,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,65,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,65,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,65,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,68,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,68,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,68,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,68,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,71,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,71,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,71,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,71,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,3,3,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,3,1.0,1,ANGRA2,2,221.0,20.0,4420.0
FW,1,3,3,1.0,1,ANGRA2,3,221.0,30.0,6630.0
FW,1,3,3,1.0,1,ANGRA2,4,221.0,40.0,8840.0
FW,1,3,6,1.0,1,ANGRA1,1,500.0,10.0,5000.0
