etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,5,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,5,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,5,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,5,2,83,0.33299999999999996,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,2,83,0.33299999999999996,1,ANGRA2,2,-0.0,20.0,-0.0
FW,5,2,83,0.33299999999999996,1,ANGRA2,3,-0.0,30.0,-0.0
FW,5,2,83,0.33299999999999996,1,ANGRA2,4,-0.0,40.0,-0.0
FW,5,2,84,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,84,0.33299999999999996,1,ANGRA2,2,345.7,20.0,6914.0
FW,5,2,84,0.33299999999999996,1,ANGRA2,3,345.7,30.0,10371.0
FW,5,2,84,0.33299999999999996,1,ANGRA2,4,345.7,40.0,13828.0
FW,5,2,85,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,85,0.33299999999999996,1,ANGRA2,2,95.3,20.0,1906.0
FW,5,2,85,0.33299999999999996,1,ANGRA2,3,95.3,30.0,2859.0
FW,5,2,85,0.33299999999999996,1,ANGRA2,4,95.3,40.0,3812.0
FW,5,3,86,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,86,0.3333333,1,ANGRA2,2,51.3,20.0,1026.0
FW,5,3,86,0.3333333,1,ANGRA2,3,51.3,30.0,1539.0
FW,5,3,86,0.3333333,1,ANGRA2,4,51.3,40.0,2052.0
FW,5,3,87,0.6666666,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,3,87,0.6666666,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,87,0.6666666,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,87,0.6666666,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,88,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,88,0.6666666,1,ANGRA2,2,419.2,20.0,8384.0
FW,5,3,88,0.6666666,1,ANGRA2,3,419.2,30.0,12576.0
FW,5,3,88,0.6666666,1,ANGRA2,4,419.2,40.0,16768.0
FW,5,3,89,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,89,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,89,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,89,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,90,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,90,0.6666666,1,ANGRA2,2,347.7,20.0,6954.0
FW,5,3,90,0.6666666,1,ANGRA2,3,347.7,30.0,10431.0
FW,5,3,90,0.6666666,1,ANGRA2,4,347.7,40.0,13908.0
FW,5,3,91,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,91,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,91,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,91,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,92,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,92,0.6666666,1,ANGRA2,2,146.2,20.0,2924.0
FW,5,4,92,0.6666666,1,ANGRA2,3,146.2,30.0,4386.0
FW,5,4,92,0.6666666,1,ANGRA2,4,146.2,40.0,5848.0
FW,5,4,93,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,93,0.3333333,1,ANGRA2,2,-0.0,20.0,-0.0
FW,5,4,93,0.3333333,1,ANGRA2,3,-0.0,30.0,-0.0
FW,5,4,93,0.3333333,1,ANGRA2,4,-0.0,40.0,-0.0
FW,5,4,94,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,4,94,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,94,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,94,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,95,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,4,95,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,95,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,95,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,96,0.6666668,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,96,0.6666668,1,ANGRA2,2,141.6,20.0,2832.0
FW,5,4,96,0.6666668,1,ANGRA2,3,141.6,30.0,4248.0
FW,5,4,96,0.6666668,1,ANGRA2,4,141.6,40.0,5664.0
FW,5,4,97,0.3333334,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,97,0.3333334,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,97,0.3333334,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,97,0.3333334,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,98,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,98,0.6666666,1,ANGRA2,2,146.2,20.0,2924.0
FW,5,4,98,0.6666666,1,ANGRA2,3,146.2,30.0,4386.0
FW,5,4,98,0.6666666,1,ANGRA2,4,146.2,40.0,5848.0
FW,5,4,99,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,99,0.3333333,1,ANGRA2,2,-0.0,20.0,-0.0
FW,5,4,99,0.3333333,1,ANGRA2,3,-0.0,30.0,-0.0
FW,5,4,99,0.3333333,1,ANGRA2,4,-0.0,40.0,-0.0
FW,5,4,100,0.6666668,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,100,0.6666668,1,ANGRA2,2,145.2,20.0,2904.0
FW,5,4,100,0.6666668,1,ANGRA2,3,145.2,30.0,4356.0
FW,5,4,100,0.6666668,1,ANGRA2,4,145.2,40.0,5808.0
FW,5,4,101,0.3333334,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,101,0.3333334,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,101,0.3333334,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,101,0.3333334,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,102,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,4,102,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,102,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,102,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,103,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,103,0.6666666,1,ANGRA2,2,64.3,20.0,1286.0
FW,5,4,103,0.6666666,1,ANGRA2,3,64.3,30.0,1929.0
FW,5,4,103,0.6666666,1,ANGRA2,4,64.3,40.0,2572.0
