etapa,iter,est,node,prob,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CustoFuturo
FW,6,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,48330.52870160917
FW,6,2,83,0.666,2000.0,1040.0,959.9999999999998,0.0,0.0,959.9999999999998,0.0,0.0,21200.000000000004,44191.139307216494
FW,6,2,84,0.33299999999999996,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,608.9999999999999,5000.0,9354.444213222152
FW,6,3,85,0.33333359999999995,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,1736.0000000000005,0.0,236.00000000000037,4999.9999999999945,14058.336144999988
FW,6,3,86,0.6666672000000001,2000.0,1213.4999999999998,786.5,0.0,0.0,786.5,0.0,0.0,26404.999999999996,30352.487858999997
FW,6,3,87,0.3333333,2000.0,300.0,1700.0,0.0,0.0,2381.0,608.9999999999999,1290.0,3000.0,2999.9997000000003
FW,6,3,88,0.6666666,2000.0,500.0,1500.0,0.0,0.0,1405.0000000000002,608.9999999999999,513.9999999999998,5000.0,6031.667873
FW,6,4,31,0.1666667,2000.0,722.9999999999995,1277.0000000000005,0.0,0.0,1041.0,236.00000000000037,0.0,11689.999999999987,0.0
FW,6,4,34,0.1666667,2000.0,402.99999999999955,1597.0000000000005,0.0,0.0,1361.0,236.00000000000037,0.0,4029.9999999999955,0.0
FW,6,4,37,0.1666667,2000.0,958.9999999999995,1041.0000000000005,0.0,0.0,805.0,236.00000000000037,0.0,18769.999999999985,0.0
FW,6,4,58,0.1666667,2000.0,921.9999999999995,1078.0000000000005,0.0,0.0,842.0,236.00000000000037,0.0,17659.999999999985,0.0
FW,6,4,61,0.1666667,2000.0,594.9999999999995,1405.0000000000005,0.0,0.0,1169.0,236.00000000000037,0.0,7849.999999999986,0.0
FW,6,4,64,0.1666667,2000.0,1144.9999999999995,855.0000000000003,0.0,0.0,619.0,236.00000000000037,0.0,24349.99999999999,0.0
FW,6,4,89,0.0833333,2000.0,1718.0,282.0,0.0,0.0,282.0,0.0,0.0,41540.0,0.0
FW,6,4,90,0.1666666,2000.0,1061.9999999999998,938.0,0.0,0.0,938.0,0.0,0.0,21859.999999999996,0.0
FW,6,4,91,0.2499999,2000.0,1410.0,590.0,0.0,0.0,590.0,0.0,0.0,32300.000000000007,0.0
FW,6,4,92,0.2499999,2000.0,1580.3333333333335,419.66666666666663,0.0,0.0,419.66666666666663,0.0,0.0,37410.0,0.0
FW,6,4,93,0.1666666,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,0.0
FW,6,4,94,0.0833333,2000.0,890.0,1110.0,0.0,0.0,1110.0,0.0,0.0,16700.0,0.0
FW,6,4,4,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1378.0,1290.0,968.0,3000.0,0.0
FW,6,4,7,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1691.0,1290.0,1281.0,3000.0,0.0
FW,6,4,10,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1129.0,1290.0,719.0,3000.0,0.0
FW,6,4,13,0.1666667,2000.0,358.0000000000002,1641.9999999999998,0.0,0.0,1128.0,513.9999999999998,0.0,3580.0000000000023,0.0
FW,6,4,16,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1447.0,513.9999999999998,260.9999999999998,3000.0,0.0
FW,6,4,19,0.1666667,2000.0,598.0000000000002,1401.9999999999998,0.0,0.0,888.0,513.9999999999998,0.0,7940.000000000007,0.0
FW,6,4,22,0.1666667,2000.0,529.0000000000002,1470.9999999999998,0.0,0.0,957.0,513.9999999999998,0.0,5870.000000000007,0.0
FW,6,4,25,0.1666667,2000.0,300.0,1700.0,0.0,0.0,1280.0,513.9999999999998,93.99999999999977,3000.0,0.0
FW,6,4,28,0.1666667,2000.0,760.0000000000002,1239.9999999999998,0.0,0.0,726.0,513.9999999999998,0.0,12800.000000000007,0.0
