NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
86,4,1,4,0.3333333
86,7,2,4,0.3333333
86,10,3,4,0.3333333
85,13,4,4,0.1666667
85,16,5,4,0.1666667
85,19,6,4,0.1666667
85,22,7,4,0.1666667
85,25,8,4,0.1666667
85,28,9,4,0.1666667
88,31,10,4,0.1666667
88,34,11,4,0.1666667
88,37,12,4,0.1666667
88,58,19,4,0.1666667
88,61,20,4,0.1666667
88,64,21,4,0.1666667
1,83,1,2,0.33299999999999996
1,84,2,2,0.666
83,85,1,3,0.6666666
83,86,2,3,0.3333333
84,87,1,3,0.6666672000000001
84,88,2,3,0.33333359999999995
87,89,1,4,0.1666666
87,90,2,4,0.2499999
87,91,3,4,0.0833333
87,92,4,4,0.2499999
87,93,5,4,0.0833333
87,94,6,4,0.1666666
