etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
BK,1,4,10,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,1090.0,519.0,3000.0,10.0
BK,1,4,19,1.0,1,2000.0,750.0,1250.0,0.0,0.0,888.0,362.0,0.0,12499.999999999998,30.0
BK,1,4,28,1.0,1,2000.0,1274.0,726.0,0.0,0.0,726.0,0.0,0.0,28220.0,30.0
BK,1,4,37,1.0,1,2000.0,1011.0,989.0,0.0,0.0,805.0,184.0,0.0,20330.0,30.0
BK,1,4,46,1.0,1,2000.0,1436.0,564.0,0.0,0.0,564.0,0.0,0.0,33080.0,30.0
BK,1,4,52,1.0,1,2000.0,1037.0,963.0,0.0,0.0,963.0,0.0,0.0,21110.0,30.0
BK,1,4,64,1.0,1,2000.0,1381.0,619.0,0.0,0.0,619.0,0.0,0.0,31429.999999999993,30.0
BK,1,4,73,1.0,1,2000.0,1614.0,386.0,0.0,0.0,386.0,0.0,0.0,38420.00000000001,30.0
BK,1,3,9,1.0,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,10.0
BK,1,3,18,1.0,1,2000.0,716.6666666666665,1283.3333333333335,0.0,0.0,1653.0,409.0,778.6666666666666,11499.999999999996,30.0
BK,1,3,27,1.0,1,2000.0,1374.6666666666665,625.3333333333334,0.0,0.0,1157.0,409.0,940.6666666666666,31239.999999999996,30.0
BK,1,3,36,1.0,1,2000.0,977.6666666666665,1022.3333333333334,0.0,0.0,1884.0,0.0,861.6666666666666,19330.0,30.0
BK,1,3,45,1.0,1,2000.0,1965.666666666667,34.33333333333326,0.0,0.0,1137.0,0.0,1102.6666666666667,48970.0,30.0
BK,1,3,51,1.0,1,2000.0,1999.6666666666667,0.33333333333337123,0.0,0.0,704.0,0.0,703.6666666666666,49990.0,30.0
BK,1,3,63,1.0,1,2000.0,1459.6666666666665,540.3333333333335,0.0,0.0,1588.0,0.0,1047.6666666666665,33789.99999999999,30.0
BK,1,3,72,1.0,1,2000.0,2000.0,0.0,0.0,0.0,837.0,0.0,837.0,50000.0,30.0
BK,1,2,8,0.11099999999999999,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
BK,1,2,17,0.11099999999999999,1,2000.0,683.3333333333333,1316.6666666666667,0.0,0.0,2109.0,0.0,792.3333333333333,10499.999999999998,30.0
BK,1,2,26,0.11099999999999999,1,2000.0,1341.333333333333,658.6666666666667,0.0,0.0,2109.0,0.0,1450.3333333333333,30239.999999999996,30.0
BK,1,2,35,0.11099999999999999,1,2000.0,1430.3333333333335,569.6666666666666,0.0,0.0,1214.0,0.0,644.3333333333334,32910.0,30.0
BK,1,2,44,0.11099999999999999,1,2000.0,2000.0,0.0,0.0,0.0,1214.0,0.0,1214.0,50000.0,30.0
BK,1,2,50,0.11099999999999999,1,2000.0,2000.0,0.0,0.0,0.0,1214.0,0.0,1214.0,50000.0,30.0
BK,1,2,62,0.11099999999999999,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
BK,1,2,71,0.222,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
BK,1,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
BK,2,4,10,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,1090.0,519.0,3000.0,10.0
BK,2,4,19,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,888.0,778.6666666666666,0.0,3333.333333333329,10.0
BK,2,4,28,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,726.0,940.6666666666666,0.0,3333.333333333329,10.0
BK,2,4,37,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,805.0,861.6666666666666,0.0,3333.333333333329,10.0
BK,2,4,46,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,564.0,1102.6666666666667,0.0,3333.3333333333326,10.0
BK,2,4,52,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,963.0,703.6666666666666,0.0,3333.333333333329,10.0
BK,2,4,64,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,619.0,1047.6666666666665,0.0,3333.333333333329,10.0
BK,2,4,73,1.0,1,2000.0,333.33333333333303,1666.666666666667,0.0,0.0,386.0,1280.666666666667,0.0,3333.3333333333303,10.0
BK,2,3,9,1.0,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,10.0
BK,2,3,18,1.0,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,1653.0,792.3333333333333,945.3333333333331,4999.9999999999945,10.0
BK,2,3,27,1.0,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,1157.0,1450.3333333333333,1107.333333333333,4999.9999999999945,10.0
BK,2,3,36,1.0,1,2000.0,500.0,1500.0,0.0,0.0,1884.0,644.3333333333334,1028.3333333333335,5000.0,10.0
BK,2,3,45,1.0,1,2000.0,585.0,1415.0,0.0,0.0,1137.0,1214.0,936.0,7549.999999999998,30.0
BK,2,3,51,1.0,1,2000.0,619.0,1381.0,0.0,0.0,704.0,1214.0,537.0000000000002,8570.000000000002,30.0
BK,2,3,63,1.0,1,2000.0,587.0,1413.0,0.0,0.0,1588.0,706.0,881.0,7610.0,30.0
BK,2,3,72,1.0,1,2000.0,1571.0000000000005,428.9999999999996,0.0,0.0,837.0,706.0,1114.0000000000002,37130.000000000015,30.0
BK,2,2,8,0.11099999999999999,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
BK,2,2,17,0.11099999999999999,1,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,608.9999999999999,5000.0,10.0
BK,2,2,26,0.11099999999999999,1,2000.0,1008.0000000000005,991.9999999999997,0.0,0.0,2109.0,0.0,1117.0000000000005,20240.000000000007,30.0
BK,2,2,35,0.11099999999999999,1,2000.0,1097.0,902.9999999999998,0.0,0.0,1214.0,0.0,311.0000000000002,22910.000000000004,30.0
BK,2,2,44,0.11099999999999999,1,2000.0,2000.0,0.0,0.0,0.0,1214.0,0.0,1214.0,50000.0,30.0
BK,2,2,50,0.11099999999999999,1,2000.0,2000.0,0.0,0.0,0.0,1214.0,0.0,1214.0,50000.0,30.0
BK,2,2,62,0.11099999999999999,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
BK,2,2,71,0.222,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
BK,2,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
