etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,1,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,1,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,1,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,1,2,83,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,83,0.33299999999999996,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,83,0.33299999999999996,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,83,0.33299999999999996,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,84,0.33299999999999996,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,85,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,85,0.33299999999999996,1,ANGRA2,2,264.7,20.0,5294.0
FW,1,2,85,0.33299999999999996,1,ANGRA2,3,264.7,30.0,7941.0
FW,1,2,85,0.33299999999999996,1,ANGRA2,4,264.7,40.0,10588.0
FW,1,3,86,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,86,0.6666666,1,ANGRA2,2,193.2,20.0,3864.0
FW,1,3,86,0.6666666,1,ANGRA2,3,193.2,30.0,5796.0
FW,1,3,86,0.6666666,1,ANGRA2,4,193.2,40.0,7728.0
FW,1,3,87,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,87,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,87,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,87,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,88,0.6666666,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,88,0.6666666,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,88,0.6666666,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,88,0.6666666,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,89,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,89,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,89,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,89,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,90,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,90,0.6666666,1,ANGRA2,2,282.5,20.0,5650.0
FW,1,3,90,0.6666666,1,ANGRA2,3,282.5,30.0,8475.0
FW,1,3,90,0.6666666,1,ANGRA2,4,282.5,40.0,11300.0
FW,1,3,91,0.3333333,1,ANGRA1,1,412.0,10.0,4120.0
FW,1,3,91,0.3333333,1,ANGRA2,2,-0.0,20.0,-0.0
FW,1,3,91,0.3333333,1,ANGRA2,3,-0.0,30.0,-0.0
FW,1,3,91,0.3333333,1,ANGRA2,4,-0.0,40.0,-0.0
FW,1,4,92,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,92,0.5000001000000001,1,ANGRA2,2,319.8,20.0,6396.0
FW,1,4,92,0.5000001000000001,1,ANGRA2,3,319.8,30.0,9594.0
FW,1,4,92,0.5000001000000001,1,ANGRA2,4,319.8,40.0,12792.0
FW,1,4,93,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,93,0.5000001000000001,1,ANGRA2,2,182.9,20.0,3658.0
FW,1,4,93,0.5000001000000001,1,ANGRA2,3,182.9,30.0,5487.0
FW,1,4,93,0.5000001000000001,1,ANGRA2,4,182.9,40.0,7316.0
FW,1,4,94,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,94,0.6666666,1,ANGRA2,2,131.0,20.0,2620.0
FW,1,4,94,0.6666666,1,ANGRA2,3,131.0,30.0,3930.0
FW,1,4,94,0.6666666,1,ANGRA2,4,131.0,40.0,5240.0
FW,1,4,95,0.3333333,1,ANGRA1,1,455.0,10.0,4550.0
FW,1,4,95,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,95,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,95,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,96,0.6666668,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,96,0.6666668,1,ANGRA2,2,153.7,20.0,3074.0
FW,1,4,96,0.6666668,1,ANGRA2,3,153.7,30.0,4611.0
FW,1,4,96,0.6666668,1,ANGRA2,4,153.7,40.0,6148.0
FW,1,4,97,0.3333334,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,97,0.3333334,1,ANGRA2,2,7.5,20.0,150.0
FW,1,4,97,0.3333334,1,ANGRA2,3,7.5,30.0,225.0
FW,1,4,97,0.3333334,1,ANGRA2,4,7.5,40.0,300.0
FW,1,4,98,0.6666666,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,98,0.6666666,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,98,0.6666666,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,98,0.6666666,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,99,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,99,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,99,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,99,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,100,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,100,0.5000001000000001,1,ANGRA2,2,376.4,20.0,7528.0
FW,1,4,100,0.5000001000000001,1,ANGRA2,3,376.4,30.0,11292.0
FW,1,4,100,0.5000001000000001,1,ANGRA2,4,376.4,40.0,15056.0
FW,1,4,101,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,101,0.5000001000000001,1,ANGRA2,2,247.7,20.0,4954.0
FW,1,4,101,0.5000001000000001,1,ANGRA2,3,247.7,30.0,7431.0
FW,1,4,101,0.5000001000000001,1,ANGRA2,4,247.7,40.0,9908.0
FW,1,4,102,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,102,0.3333333,1,ANGRA2,2,110.3,20.0,2206.0
FW,1,4,102,0.3333333,1,ANGRA2,3,110.3,30.0,3309.0
FW,1,4,102,0.3333333,1,ANGRA2,4,110.3,40.0,4412.0
FW,1,4,103,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,103,0.6666666,1,ANGRA2,2,256.5,20.0,5130.0
FW,1,4,103,0.6666666,1,ANGRA2,3,256.5,30.0,7695.0
FW,1,4,103,0.6666666,1,ANGRA2,4,256.5,40.0,10260.0
FW,2,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,2,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,2,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,2,2,83,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,83,0.33299999999999996,1,ANGRA2,2,95.3,20.0,1906.0
FW,2,2,83,0.33299999999999996,1,ANGRA2,3,95.3,30.0,2859.0
FW,2,2,83,0.33299999999999996,1,ANGRA2,4,95.3,40.0,3812.0
FW,2,2,84,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,84,0.33299999999999996,1,ANGRA2,2,-0.0,20.0,-0.0
FW,2,2,84,0.33299999999999996,1,ANGRA2,3,-0.0,30.0,-0.0
FW,2,2,84,0.33299999999999996,1,ANGRA2,4,-0.0,40.0,-0.0
