etapa,iter,est,node,nome,usina,generation
FORWARD,3,1,1,ANGRA1,1,50.0
FORWARD,3,1,1,ANGRA2,2,50.0
FORWARD,3,2,2,ANGRA1,1,50.0
FORWARD,3,2,2,ANGRA2,2,50.0
FORWARD,3,2,17,ANGRA1,1,50.0
FORWARD,3,2,17,ANGRA2,2,50.0
FORWARD,3,3,3,ANGRA1,1,50.0
FORWARD,3,3,3,ANGRA2,2,50.0
FORWARD,3,3,10,ANGRA1,1,50.0
FORWARD,3,3,10,ANGRA2,2,50.0
FORWARD,3,3,18,ANGRA1,1,50.0
FORWARD,3,3,18,ANGRA2,2,50.0
FORWARD,3,3,25,ANGRA1,1,50.0
FORWARD,3,3,25,ANGRA2,2,50.0
FORWARD,3,4,4,ANGRA1,1,48.0
FORWARD,3,4,4,ANGRA2,2,50.0
FORWARD,3,4,7,ANGRA1,1,48.0
FORWARD,3,4,7,ANGRA2,2,50.0
FORWARD,3,4,11,ANGRA1,1,48.0
FORWARD,3,4,11,ANGRA2,2,50.0
FORWARD,3,4,14,ANGRA1,1,48.0
FORWARD,3,4,14,ANGRA2,2,50.0
FORWARD,3,4,19,ANGRA1,1,48.0
FORWARD,3,4,19,ANGRA2,2,50.0
FORWARD,3,4,22,ANGRA1,1,48.0
FORWARD,3,4,22,ANGRA2,2,50.0
FORWARD,3,4,26,ANGRA1,1,48.0
FORWARD,3,4,26,ANGRA2,2,50.0
FORWARD,3,4,29,ANGRA1,1,48.0
FORWARD,3,4,29,ANGRA2,2,50.0
FORWARD,3,5,5,ANGRA1,1,0.0
FORWARD,3,5,5,ANGRA2,2,50.0
FORWARD,3,5,6,ANGRA1,1,0.0
FORWARD,3,5,6,ANGRA2,2,50.0
FORWARD,3,5,8,ANGRA1,1,0.0
FORWARD,3,5,8,ANGRA2,2,50.0
FORWARD,3,5,9,ANGRA1,1,0.0
FORWARD,3,5,9,ANGRA2,2,50.0
FORWARD,3,5,12,ANGRA1,1,0.0
FORWARD,3,5,12,ANGRA2,2,50.0
FORWARD,3,5,13,ANGRA1,1,0.0
FORWARD,3,5,13,ANGRA2,2,50.0
FORWARD,3,5,15,ANGRA1,1,0.0
FORWARD,3,5,15,ANGRA2,2,50.0
FORWARD,3,5,16,ANGRA1,1,0.0
FORWARD,3,5,16,ANGRA2,2,50.0
FORWARD,3,5,20,ANGRA1,1,0.0
FORWARD,3,5,20,ANGRA2,2,50.0
FORWARD,3,5,21,ANGRA1,1,0.0
FORWARD,3,5,21,ANGRA2,2,50.0
FORWARD,3,5,23,ANGRA1,1,0.0
FORWARD,3,5,23,ANGRA2,2,50.0
FORWARD,3,5,24,ANGRA1,1,0.0
FORWARD,3,5,24,ANGRA2,2,50.0
FORWARD,3,5,27,ANGRA1,1,0.0
FORWARD,3,5,27,ANGRA2,2,50.0
FORWARD,3,5,28,ANGRA1,1,0.0
FORWARD,3,5,28,ANGRA2,2,50.0
FORWARD,3,5,30,ANGRA1,1,0.0
FORWARD,3,5,30,ANGRA2,2,50.0
FORWARD,3,5,31,ANGRA1,1,0.0
FORWARD,3,5,31,ANGRA2,2,50.0
