etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
BK,1,4,40,1.0,1,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,30.0
BK,1,4,76,1.0,1,2000.0,1556.0,444.0,0.0,0.0,444.0,0.0,0.0,36680.0,30.0
BK,1,4,95,0.5000001000000001,1,2000.0,1029.0000000000005,970.9999999999998,0.0,0.0,857.0,113.99999999999977,0.0,20870.000000000007,30.0
BK,1,4,96,0.5000001000000001,1,2000.0,601.0000000000002,1398.9999999999998,0.0,0.0,1285.0,113.99999999999977,0.0,8030.000000000007,30.0
BK,1,4,7,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1691.0,1090.0,1081.0,3000.0,10.0
BK,1,4,10,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,1090.0,519.0,3000.0,10.0
BK,1,4,97,0.6000000000000001,1,2000.0,1459.3333333333335,540.6666666666666,0.0,0.0,540.6666666666666,0.0,0.0,33780.0,30.0
BK,1,4,98,0.4,1,2000.0,963.5,1036.5,0.0,0.0,1036.5,0.0,0.0,18905.0,30.0
BK,1,4,99,0.6666666,1,2000.0,893.0,1107.0,0.0,0.0,923.0,184.0,0.0,16790.0,30.0
BK,1,4,100,0.3333333,1,2000.0,455.0,1545.0,0.0,0.0,1361.0,184.0,0.0,4550.0,10.0
BK,1,4,101,0.6666666,1,2000.0,1269.5,730.5,0.0,0.0,730.5,0.0,0.0,28085.0,30.0
BK,1,4,102,0.3333333,1,2000.0,831.0,1169.0,0.0,0.0,1169.0,0.0,0.0,14929.999999999998,30.0
BK,1,4,103,0.4,1,2000.0,1153.0000000000002,847.0,0.0,0.0,847.0,0.0,0.0,24590.000000000004,30.0
BK,1,4,104,0.6000000000000001,1,2000.0,1585.0,415.0,0.0,0.0,415.0,0.0,0.0,37549.99999999999,30.0
BK,1,4,4,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1378.0,1090.0,768.0,3000.0,10.0
BK,1,3,39,1.0,1,2000.0,1748.6666666666665,251.33333333333326,0.0,0.0,1137.0,0.0,885.6666666666667,42460.0,30.0
BK,1,3,75,1.0,1,2000.0,2000.0,0.0,0.0,0.0,468.0,0.0,468.0,50000.0,30.0
BK,1,3,89,0.75,1,2000.0,781.666666666667,1218.333333333333,0.0,0.0,1404.9999999999998,409.0,595.6666666666666,13450.000000000007,30.0
BK,1,3,90,0.25,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,10.0
BK,1,3,91,0.625,1,2000.0,2000.0,0.0,0.0,0.0,877.2,0.0,877.2,50000.0,30.0
BK,1,3,92,0.375,1,2000.0,500.0,1500.0,0.0,0.0,1884.0,0.0,383.99999999999983,5000.0,23.33
BK,1,3,93,0.375,1,2000.0,1202.0,797.9999999999998,0.0,0.0,1587.9999999999998,0.0,790.0,26060.0,30.0
BK,1,3,94,0.625,1,2000.0,2000.0,0.0,0.0,0.0,689.4000000000001,0.0,689.4000000000001,50000.0,30.0
BK,1,3,3,1.0,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,10.0
BK,1,2,83,0.037,1,2000.0,2000.0,0.0,0.0,0.0,1214.0,0.0,1214.0,50000.0,30.0
BK,1,2,84,0.037,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
BK,1,2,85,0.296,1,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,608.9999999999999,5000.0,22.5
BK,1,2,86,0.296,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
BK,1,2,87,0.296,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
BK,1,2,88,0.037,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
BK,1,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
BK,2,4,40,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,781.0,885.6666666666667,0.0,3333.3333333333326,10.0
BK,2,4,76,1.0,1,2000.0,381.9999999999998,1618.0000000000002,0.0,0.0,444.0,1174.0,0.0,3819.999999999994,10.0
BK,2,4,95,0.5000001000000001,1,2000.0,547.3333333333335,1452.6666666666665,0.0,0.0,857.0,595.6666666666666,0.0,6420.000000000005,30.0
BK,2,4,96,0.5000001000000001,1,2000.0,300.0,1700.0,0.0,0.0,1285.0,595.6666666666666,180.66666666666652,3000.0,10.0
BK,2,4,7,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1691.0,1290.0,1281.0,3000.0,10.0
BK,2,4,10,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,1290.0,719.0,3000.0,10.0
BK,2,4,97,0.6000000000000001,1,2000.0,582.1333333333332,1417.8666666666668,0.0,0.0,540.6666666666666,877.2,0.0,7463.999999999996,30.0
BK,2,4,98,0.4,1,2000.0,300.0,1700.0,0.0,0.0,1036.5,877.2,213.70000000000005,3000.0,10.0
BK,2,4,99,0.6666666,1,2000.0,693.0000000000002,1306.9999999999998,0.0,0.0,923.0,383.99999999999983,0.0,10790.00000000001,30.0
BK,2,4,100,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1361.0,383.99999999999983,44.99999999999977,3000.0,10.0
BK,2,4,101,0.6666666,1,2000.0,479.5,1520.5,0.0,0.0,730.5,790.0,0.0,4795.0,10.0
BK,2,4,102,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1169.0,790.0,259.0,3000.0,10.0
BK,2,4,103,0.4,1,2000.0,300.0,1700.0,0.0,0.0,847.0,1078.8666666666666,225.86666666666656,3000.0,10.0
BK,2,4,104,0.6000000000000001,1,2000.0,506.13333333333344,1493.8666666666666,0.0,0.0,415.0,1078.8666666666666,0.0,5184.000000000004,30.0
BK,2,4,4,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1378.0,1090.0,768.0,3000.0,10.0
BK,2,3,39,1.0,1,2000.0,500.0,1500.0,0.0,0.0,1137.0,1214.0,851.0,5000.0,10.0
BK,2,3,75,1.0,1,2000.0,1882.0000000000002,117.99999999999963,0.0,0.0,468.0,706.0,1056.0000000000005,46460.000000000015,30.0
BK,2,3,89,0.75,1,2000.0,500.0,1500.0,0.0,0.0,1404.9999999999998,608.9999999999999,513.9999999999997,5000.0,15.0
BK,2,3,90,0.25,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,608.9999999999999,1290.0,3000.0,10.0
BK,2,3,91,0.625,1,2000.0,1652.9666666666662,347.0333333333335,0.0,0.0,877.2,0.0,530.1666666666665,39589.0,30.0
BK,2,3,92,0.375,1,2000.0,500.0,1500.0,0.0,0.0,1884.0,0.0,383.9999999999998,5000.0,20.0
BK,2,3,93,0.375,1,2000.0,316.14285714285734,1683.8571428571427,0.0,0.0,1587.9999999999998,706.0,610.1428571428573,3161.4285714285734,10.0
BK,2,3,94,0.625,1,2000.0,1324.2666666666664,675.7333333333338,0.0,0.0,689.4000000000001,706.0,719.6666666666663,29727.999999999985,30.0
BK,2,3,3,1.0,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,10.0
BK,2,2,83,0.037,1,2000.0,1868.0,131.99999999999997,0.0,0.0,1214.0,0.0,1082.0,46040.0,30.0
BK,2,2,84,0.037,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
BK,2,2,85,0.296,1,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,608.9999999999997,5000.0,11.25
BK,2,2,86,0.296,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
BK,2,2,87,0.296,1,2000.0,1816.1428841214295,183.85711587857057,0.0,0.0,706.0,0.0,522.1428841214295,44484.286523642884,30.0
BK,2,2,88,0.037,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
BK,2,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
BK,3,4,40,1.0,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,781.0,719.0000000000002,0.0,4999.9999999999945,30.0
BK,3,4,76,1.0,1,2000.0,499.99999999999955,1500.0000000000005,0.0,0.0,444.0,1056.0000000000005,0.0,4999.999999999985,30.0
