etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,3,4,4,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,3,4,4,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,4,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,4,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,4,2,83,0.037,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,83,0.037,1,ANGRA2,2,456.0,20.0,9120.0
FW,4,2,83,0.037,1,ANGRA2,3,456.0,30.0,13680.0
FW,4,2,83,0.037,1,ANGRA2,4,456.0,40.0,18240.0
FW,4,2,84,0.037,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,84,0.037,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,2,84,0.037,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,2,84,0.037,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,2,85,0.296,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,85,0.296,1,ANGRA2,2,0.0,20.0,0.0
FW,4,2,85,0.296,1,ANGRA2,3,0.0,30.0,0.0
FW,4,2,85,0.296,1,ANGRA2,4,0.0,40.0,0.0
FW,4,2,86,0.296,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,86,0.296,1,ANGRA2,2,95.3,20.0,1906.0
FW,4,2,86,0.296,1,ANGRA2,3,95.3,30.0,2859.0
FW,4,2,86,0.296,1,ANGRA2,4,95.3,40.0,3812.0
FW,4,2,87,0.296,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,87,0.296,1,ANGRA2,2,367.9,20.0,7358.0
FW,4,2,87,0.296,1,ANGRA2,3,367.9,30.0,11037.0
FW,4,2,87,0.296,1,ANGRA2,4,367.9,40.0,14716.0
FW,4,2,88,0.037,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,2,88,0.037,1,ANGRA2,2,0.0,20.0,0.0
FW,4,2,88,0.037,1,ANGRA2,3,0.0,30.0,0.0
FW,4,2,88,0.037,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,39,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,39,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,39,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,39,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,75,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,75,1.0,1,ANGRA2,2,460.7,20.0,9214.0
FW,4,3,75,1.0,1,ANGRA2,3,460.7,30.0,13821.0
FW,4,3,75,1.0,1,ANGRA2,4,460.7,40.0,18428.0
FW,4,3,89,0.75,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,89,0.75,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,89,0.75,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,89,0.75,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,90,0.25,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,3,90,0.25,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,90,0.25,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,90,0.25,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,91,0.625,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,91,0.625,1,ANGRA2,2,362.1,20.0,7242.0
FW,4,3,91,0.625,1,ANGRA2,3,362.1,30.0,10863.0
FW,4,3,91,0.625,1,ANGRA2,4,362.1,40.0,14484.0
FW,4,3,92,0.375,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,92,0.375,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,92,0.375,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,92,0.375,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,93,0.375,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,93,0.375,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,3,93,0.375,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,3,93,0.375,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,3,94,0.625,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,94,0.625,1,ANGRA2,2,384.6,20.0,7692.0
FW,4,3,94,0.625,1,ANGRA2,3,384.6,30.0,11538.0
FW,4,3,94,0.625,1,ANGRA2,4,384.6,40.0,15384.0
FW,4,3,3,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,3,3,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,3,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,3,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,40,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,40,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,40,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,40,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,76,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,76,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,76,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,76,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,95,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,95,0.5000001000000001,1,ANGRA2,2,43.0,20.0,860.0
FW,4,4,95,0.5000001000000001,1,ANGRA2,3,43.0,30.0,1290.0
FW,4,4,95,0.5000001000000001,1,ANGRA2,4,43.0,40.0,1720.0
FW,4,4,96,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,96,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,96,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,96,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,7,0.5,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,7,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,7,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,7,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,10,0.5,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,10,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,10,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,10,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,97,0.6000000000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,97,0.6000000000000001,1,ANGRA2,2,165.3,20.0,3306.0
FW,4,4,97,0.6000000000000001,1,ANGRA2,3,165.3,30.0,4959.0
FW,4,4,97,0.6000000000000001,1,ANGRA2,4,165.3,40.0,6612.0
FW,4,4,98,0.4,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,98,0.4,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,98,0.4,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,98,0.4,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,99,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,99,0.6666666,1,ANGRA2,2,64.3,20.0,1286.0
FW,4,4,99,0.6666666,1,ANGRA2,3,64.3,30.0,1929.0
FW,4,4,99,0.6666666,1,ANGRA2,4,64.3,40.0,2572.0
FW,4,4,100,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,100,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,100,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,100,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,101,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,101,0.6666666,1,ANGRA2,2,123.9,20.0,2478.0
FW,4,4,101,0.6666666,1,ANGRA2,3,123.9,30.0,3717.0
FW,4,4,101,0.6666666,1,ANGRA2,4,123.9,40.0,4956.0
FW,4,4,102,0.3333333,1,ANGRA1,1,433.3,10.0,4333.0
FW,4,4,102,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,102,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,102,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,103,0.4,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,103,0.4,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,103,0.4,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,103,0.4,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,104,0.6000000000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,104,0.6000000000000001,1,ANGRA2,2,144.0,20.0,2880.0
FW,4,4,104,0.6000000000000001,1,ANGRA2,3,144.0,30.0,4320.0
FW,4,4,104,0.6000000000000001,1,ANGRA2,4,144.0,40.0,5760.0
FW,4,4,4,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,4,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,4,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,4,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,5,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,5,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,5,2,83,0.037,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,83,0.037,1,ANGRA2,2,456.0,20.0,9120.0
FW,5,2,83,0.037,1,ANGRA2,3,456.0,30.0,13680.0
FW,5,2,83,0.037,1,ANGRA2,4,456.0,40.0,18240.0
FW,5,2,84,0.037,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,84,0.037,1,ANGRA2,2,500.0,20.0,10000.0
FW,5,2,84,0.037,1,ANGRA2,3,500.0,30.0,15000.0
FW,5,2,84,0.037,1,ANGRA2,4,500.0,40.0,20000.0
FW,5,2,85,0.296,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,85,0.296,1,ANGRA2,2,0.0,20.0,0.0
FW,5,2,85,0.296,1,ANGRA2,3,0.0,30.0,0.0
FW,5,2,85,0.296,1,ANGRA2,4,0.0,40.0,0.0
FW,5,2,86,0.296,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,86,0.296,1,ANGRA2,2,95.3,20.0,1906.0
FW,5,2,86,0.296,1,ANGRA2,3,95.3,30.0,2859.0
FW,5,2,86,0.296,1,ANGRA2,4,95.3,40.0,3812.0
FW,5,2,87,0.296,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,87,0.296,1,ANGRA2,2,345.7,20.0,6914.0
FW,5,2,87,0.296,1,ANGRA2,3,345.7,30.0,10371.0
FW,5,2,87,0.296,1,ANGRA2,4,345.7,40.0,13828.0
FW,5,2,88,0.037,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,2,88,0.037,1,ANGRA2,2,0.0,20.0,0.0
FW,5,2,88,0.037,1,ANGRA2,3,0.0,30.0,0.0
FW,5,2,88,0.037,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,39,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,39,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,39,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,39,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,75,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,75,1.0,1,ANGRA2,2,460.7,20.0,9214.0
FW,5,3,75,1.0,1,ANGRA2,3,460.7,30.0,13821.0
FW,5,3,75,1.0,1,ANGRA2,4,460.7,40.0,18428.0
FW,5,3,89,0.75,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,89,0.75,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,89,0.75,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,89,0.75,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,90,0.25,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,3,90,0.25,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,90,0.25,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,90,0.25,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,91,0.625,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,91,0.625,1,ANGRA2,2,362.1,20.0,7242.0
FW,5,3,91,0.625,1,ANGRA2,3,362.1,30.0,10863.0
FW,5,3,91,0.625,1,ANGRA2,4,362.1,40.0,14484.0
FW,5,3,92,0.375,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,92,0.375,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,92,0.375,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,92,0.375,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,93,0.375,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,93,0.375,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,93,0.375,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,93,0.375,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,94,0.625,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,94,0.625,1,ANGRA2,2,406.9,20.0,8138.0
FW,5,3,94,0.625,1,ANGRA2,3,406.9,30.0,12207.0
FW,5,3,94,0.625,1,ANGRA2,4,406.9,40.0,16276.0
FW,5,3,3,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,3,3,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,3,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,3,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,40,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,40,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,5,4,40,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,5,4,40,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,5,4,76,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,76,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,5,4,76,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,5,4,76,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,5,4,95,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,95,0.5000001000000001,1,ANGRA2,2,43.0,20.0,860.0
FW,5,4,95,0.5000001000000001,1,ANGRA2,3,43.0,30.0,1290.0
FW,5,4,95,0.5000001000000001,1,ANGRA2,4,43.0,40.0,1720.0
FW,5,4,96,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,4,96,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,96,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,96,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,7,0.5,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,4,7,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,7,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,7,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,10,0.5,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,4,10,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,10,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,10,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,97,0.6000000000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,97,0.6000000000000001,1,ANGRA2,2,165.3,20.0,3306.0
FW,5,4,97,0.6000000000000001,1,ANGRA2,3,165.3,30.0,4959.0
FW,5,4,97,0.6000000000000001,1,ANGRA2,4,165.3,40.0,6612.0
FW,5,4,98,0.4,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,98,0.4,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,98,0.4,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,98,0.4,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,99,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,99,0.6666666,1,ANGRA2,2,64.3,20.0,1286.0
FW,5,4,99,0.6666666,1,ANGRA2,3,64.3,30.0,1929.0
FW,5,4,99,0.6666666,1,ANGRA2,4,64.3,40.0,2572.0
FW,5,4,100,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,4,100,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,100,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,100,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,101,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,101,0.6666666,1,ANGRA2,2,146.2,20.0,2924.0
FW,5,4,101,0.6666666,1,ANGRA2,3,146.2,30.0,4386.0
FW,5,4,101,0.6666666,1,ANGRA2,4,146.2,40.0,5848.0
FW,5,4,102,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,102,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,102,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,102,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,103,0.4,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,103,0.4,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,103,0.4,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,103,0.4,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,104,0.6000000000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,104,0.6000000000000001,1,ANGRA2,2,144.0,20.0,2880.0
FW,5,4,104,0.6000000000000001,1,ANGRA2,3,144.0,30.0,4320.0
FW,5,4,104,0.6000000000000001,1,ANGRA2,4,144.0,40.0,5760.0
FW,5,4,4,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,5,4,4,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,4,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,4,1.0,1,ANGRA2,4,0.0,40.0,0.0
