etapa,iter,miniIter,est,node,prob,ilha,codigoBarra,generation,demanda,potenciaLiquida,deficit
FW,2,0,1,1,1.0,1,3,0.0,0.0,0.0,0.0
FW,2,0,1,1,1.0,1,4,0.0,0.0,0.0,0.0
FW,2,0,1,1,1.0,1,5,0.0,30.0,0.0,0.0
FW,2,0,2,2,0.2333,1,1,0.0,0.0,0.0,0.0
FW,2,0,2,2,0.2333,1,2,0.0,0.0,0.0,0.0
FW,2,0,2,2,0.2333,1,3,0.0,0.0,0.0,0.0
FW,2,0,2,2,0.2333,1,4,0.0,0.0,0.0,0.0
FW,2,0,2,2,0.2333,1,5,0.0,45.0,0.0,0.0
FW,2,0,2,3,0.1666,1,1,0.0,0.0,0.0,0.0
FW,2,0,2,3,0.1666,1,2,0.0,0.0,0.0,0.0
FW,2,0,2,3,0.1666,1,3,0.0,0.0,0.0,0.0
FW,2,0,2,3,0.1666,1,4,0.0,0.0,0.0,0.0
FW,2,0,2,3,0.1666,1,5,0.0,45.0,0.0,0.0
FW,2,0,2,4,0.2,1,1,0.0,0.0,0.0,1.1
FW,2,0,2,4,0.2,1,2,0.0,0.0,0.0,0.0
FW,2,0,2,4,0.2,1,3,0.0,0.0,0.0,0.0
FW,2,0,2,4,0.2,1,4,0.0,0.0,0.0,0.0
FW,2,0,2,4,0.2,1,5,0.0,45.0,0.0,0.0
FW,2,0,2,5,0.2,1,1,0.0,0.0,0.0,0.0
FW,2,0,2,5,0.2,1,2,0.0,0.0,0.0,0.0
FW,2,0,2,5,0.2,1,3,0.0,0.0,0.0,0.0
FW,2,0,2,5,0.2,1,4,0.0,0.0,0.0,0.0
FW,2,0,2,5,0.2,1,5,0.0,45.0,0.0,0.0
FW,2,0,2,6,0.2,1,1,0.0,0.0,0.0,0.0
FW,2,0,2,6,0.2,1,2,0.0,0.0,0.0,0.0
FW,2,0,2,6,0.2,1,3,0.0,0.0,0.0,0.0
FW,2,0,2,6,0.2,1,4,0.0,0.0,0.0,0.0
FW,2,0,2,6,0.2,1,5,0.0,45.0,0.0,0.0
FW,3,0,1,1,1.0,1,1,0.0,0.0,0.0,0.0
FW,3,0,1,1,1.0,1,2,0.0,0.0,0.0,0.0
FW,3,0,1,1,1.0,1,3,0.0,0.0,0.0,0.0
FW,3,0,1,1,1.0,1,4,0.0,0.0,0.0,0.0
FW,3,0,1,1,1.0,1,5,0.0,30.0,0.0,0.0
FW,3,0,2,2,0.2333,1,1,0.0,0.0,0.0,0.0
FW,3,0,2,2,0.2333,1,2,0.0,0.0,0.0,0.0
FW,3,0,2,2,0.2333,1,3,0.0,0.0,0.0,0.0
FW,3,0,2,2,0.2333,1,4,0.0,0.0,0.0,0.0
FW,3,0,2,2,0.2333,1,5,0.0,45.0,0.0,0.0
FW,3,0,2,3,0.1666,1,1,0.0,0.0,0.0,0.0
FW,3,0,2,3,0.1666,1,2,0.0,0.0,0.0,0.0
FW,3,0,2,3,0.1666,1,3,0.0,0.0,0.0,0.0
FW,3,0,2,3,0.1666,1,4,0.0,0.0,0.0,0.0
FW,3,0,2,3,0.1666,1,5,0.0,45.0,0.0,0.0
FW,3,0,2,4,0.2,1,1,0.0,0.0,0.0,0.0
FW,3,0,2,4,0.2,1,2,0.0,0.0,0.0,0.0
FW,3,0,2,4,0.2,1,3,0.0,0.0,0.0,0.0
FW,3,0,2,4,0.2,1,4,0.0,0.0,0.0,0.0
FW,3,0,2,4,0.2,1,5,0.0,45.0,0.0,0.0
FW,3,0,2,5,0.2,1,1,0.0,0.0,0.0,0.0
FW,3,0,2,5,0.2,1,2,0.0,0.0,0.0,0.0
FW,3,0,2,5,0.2,1,3,0.0,0.0,0.0,0.0
FW,3,0,2,5,0.2,1,4,0.0,0.0,0.0,0.0
FW,3,0,2,5,0.2,1,5,0.0,45.0,0.0,0.0
FW,3,0,2,6,0.2,1,1,0.0,0.0,0.0,0.0
FW,3,0,2,6,0.2,1,2,0.0,0.0,0.0,0.0
FW,3,0,2,6,0.2,1,3,0.0,0.0,0.0,0.0
FW,3,0,2,6,0.2,1,4,0.0,0.0,0.0,0.0
FW,3,0,2,6,0.2,1,5,0.0,45.0,0.0,0.0
FW,4,0,1,1,1.0,1,1,0.0,0.0,0.0,0.0
FW,4,0,1,1,1.0,1,2,0.0,0.0,0.0,0.0
FW,4,0,1,1,1.0,1,3,0.0,0.0,0.0,0.0
FW,4,0,1,1,1.0,1,4,0.0,0.0,0.0,0.0
FW,4,0,1,1,1.0,1,5,0.0,30.0,0.0,0.0
FW,4,0,2,2,0.2333,1,1,0.0,0.0,0.0,0.0
FW,4,0,2,2,0.2333,1,2,0.0,0.0,0.0,0.0
FW,4,0,2,2,0.2333,1,3,0.0,0.0,0.0,0.0
FW,4,0,2,2,0.2333,1,4,0.0,0.0,0.0,0.0
FW,4,0,2,2,0.2333,1,5,0.0,45.0,0.0,0.0
FW,4,0,2,3,0.1666,1,1,0.0,0.0,0.0,0.0
FW,4,0,2,3,0.1666,1,2,0.0,0.0,0.0,0.0
FW,4,0,2,3,0.1666,1,3,0.0,0.0,0.0,0.0
FW,4,0,2,3,0.1666,1,4,0.0,0.0,0.0,0.0
FW,4,0,2,3,0.1666,1,5,0.0,45.0,0.0,0.0
FW,4,0,2,4,0.2,1,1,0.0,0.0,0.0,0.0
FW,4,0,2,4,0.2,1,2,0.0,0.0,0.0,0.0
FW,4,0,2,4,0.2,1,3,0.0,0.0,0.0,0.0
FW,4,0,2,4,0.2,1,4,0.0,0.0,0.0,0.0
FW,4,0,2,4,0.2,1,5,0.0,45.0,0.0,0.0
FW,4,0,2,5,0.2,1,1,0.0,0.0,0.0,0.0
FW,4,0,2,5,0.2,1,2,0.0,0.0,0.0,0.0
FW,4,0,2,5,0.2,1,3,0.0,0.0,0.0,0.0
FW,4,0,2,5,0.2,1,4,0.0,0.0,0.0,0.0
FW,4,0,2,5,0.2,1,5,0.0,45.0,0.0,0.0
FW,4,0,2,6,0.2,1,1,0.0,0.0,0.0,0.0
FW,4,0,2,6,0.2,1,2,0.0,0.0,0.0,0.0
FW,4,0,2,6,0.2,1,3,0.0,0.0,0.0,0.0
FW,4,0,2,6,0.2,1,4,0.0,0.0,0.0,0.0
FW,4,0,2,6,0.2,1,5,0.0,45.0,0.0,0.0
