etapa,iter,miniIter,est,node,prob,ilha,codigoBarraDE,codigoBarraPARA,capacidade,fluxo,folga
BK,1,0,2,2,0.2333,1,1,2,100.0,0.0,-9999.0
BK,1,0,2,2,0.2333,1,3,1,50.0,0.0,-9999.0
BK,1,0,2,2,0.2333,1,3,2,100.0,0.0,-9999.0
BK,1,0,2,2,0.2333,1,3,4,100.0,0.0,-9999.0
BK,1,0,2,2,0.2333,1,3,5,100.0,0.0,-9999.0
BK,1,0,2,3,0.1666,1,1,2,100.0,0.0,-9999.0
BK,1,0,2,3,0.1666,1,3,1,50.0,0.0,-9999.0
BK,1,0,2,3,0.1666,1,3,2,100.0,0.0,-9999.0
BK,1,0,2,3,0.1666,1,3,4,100.0,0.0,-9999.0
BK,1,0,2,3,0.1666,1,3,5,100.0,0.0,-9999.0
BK,1,0,2,4,0.2,1,1,2,100.0,0.0,-9999.0
BK,1,0,2,4,0.2,1,3,1,50.0,0.0,-9999.0
BK,1,0,2,4,0.2,1,3,2,100.0,0.0,-9999.0
BK,1,0,2,4,0.2,1,3,4,100.0,0.0,-9999.0
BK,1,0,2,4,0.2,1,3,5,100.0,0.0,-9999.0
BK,1,0,2,5,0.2,1,1,2,100.0,0.0,-9999.0
BK,1,0,2,5,0.2,1,3,1,50.0,0.0,-9999.0
BK,1,0,2,5,0.2,1,3,2,100.0,0.0,-9999.0
BK,1,0,2,5,0.2,1,3,4,100.0,0.0,-9999.0
BK,1,0,2,5,0.2,1,3,5,100.0,0.0,-9999.0
BK,1,0,2,6,0.2,1,1,2,100.0,0.0,-9999.0
BK,1,0,2,6,0.2,1,3,1,50.0,0.0,-9999.0
BK,1,0,2,6,0.2,1,3,2,100.0,0.0,-9999.0
BK,1,0,2,6,0.2,1,3,4,100.0,0.0,-9999.0
BK,1,0,2,6,0.2,1,3,5,100.0,0.0,-9999.0
BK,1,0,1,1,1.0,1,1,2,50.0,0.0,-9999.0
BK,1,0,1,1,1.0,1,3,1,50.0,0.0,-9999.0
BK,1,0,1,1,1.0,1,3,2,200.0,0.0,-9999.0
BK,1,0,1,1,1.0,1,3,4,200.0,0.0,-9999.0
BK,1,0,1,1,1.0,1,3,5,200.0,0.0,-9999.0
BK,2,0,2,2,0.2333,1,1,2,100.0,0.0,-9999.0
BK,2,0,2,2,0.2333,1,3,1,50.0,0.0,-9999.0
BK,2,0,2,2,0.2333,1,3,2,100.0,0.0,-9999.0
BK,2,0,2,2,0.2333,1,3,4,100.0,0.0,-9999.0
BK,2,0,2,2,0.2333,1,3,5,100.0,0.0,-9999.0
BK,2,0,2,3,0.1666,1,1,2,100.0,0.0,-9999.0
BK,2,0,2,3,0.1666,1,3,1,50.0,0.0,-9999.0
BK,2,0,2,3,0.1666,1,3,2,100.0,0.0,-9999.0
BK,2,0,2,3,0.1666,1,3,4,100.0,0.0,-9999.0
BK,2,0,2,3,0.1666,1,3,5,100.0,0.0,-9999.0
BK,2,0,2,4,0.2,1,1,2,100.0,0.0,-9999.0
BK,2,0,2,4,0.2,1,3,1,50.0,0.0,-9999.0
BK,2,0,2,4,0.2,1,3,2,100.0,0.0,-9999.0
BK,2,0,2,4,0.2,1,3,4,100.0,0.0,-9999.0
BK,2,0,2,4,0.2,1,3,5,100.0,0.0,-9999.0
BK,2,0,2,5,0.2,1,1,2,100.0,0.0,-9999.0
BK,2,0,2,5,0.2,1,3,1,50.0,0.0,-9999.0
BK,2,0,2,5,0.2,1,3,2,100.0,0.0,-9999.0
BK,2,0,2,5,0.2,1,3,4,100.0,0.0,-9999.0
BK,2,0,2,5,0.2,1,3,5,100.0,0.0,-9999.0
BK,2,0,2,6,0.2,1,1,2,100.0,0.0,-9999.0
BK,2,0,2,6,0.2,1,3,1,50.0,0.0,-9999.0
BK,2,0,2,6,0.2,1,3,2,100.0,0.0,-9999.0
BK,2,0,2,6,0.2,1,3,4,100.0,0.0,-9999.0
BK,2,0,2,6,0.2,1,3,5,100.0,0.0,-9999.0
BK,2,0,1,1,1.0,1,1,2,50.0,0.0,-9999.0
BK,2,0,1,1,1.0,1,3,1,50.0,0.0,-9999.0
BK,2,0,1,1,1.0,1,3,2,200.0,0.0,-9999.0
BK,2,0,1,1,1.0,1,3,4,200.0,0.0,-9999.0
BK,2,0,1,1,1.0,1,3,5,200.0,0.0,-9999.0
BK,3,0,2,2,0.2333,1,1,2,100.0,0.0,-9999.0
BK,3,0,2,2,0.2333,1,3,1,50.0,0.0,-9999.0
BK,3,0,2,2,0.2333,1,3,2,100.0,0.0,-9999.0
BK,3,0,2,2,0.2333,1,3,4,100.0,0.0,-9999.0
BK,3,0,2,2,0.2333,1,3,5,100.0,0.0,-9999.0
BK,3,0,2,3,0.1666,1,1,2,100.0,0.0,-9999.0
BK,3,0,2,3,0.1666,1,3,1,50.0,0.0,-9999.0
BK,3,0,2,3,0.1666,1,3,2,100.0,0.0,-9999.0
BK,3,0,2,3,0.1666,1,3,4,100.0,0.0,-9999.0
BK,3,0,2,3,0.1666,1,3,5,100.0,0.0,-9999.0
BK,3,0,2,4,0.2,1,1,2,100.0,0.0,-9999.0
BK,3,0,2,4,0.2,1,3,1,50.0,0.0,-9999.0
BK,3,0,2,4,0.2,1,3,2,100.0,0.0,-9999.0
BK,3,0,2,4,0.2,1,3,4,100.0,0.0,-9999.0
BK,3,0,2,4,0.2,1,3,5,100.0,0.0,-9999.0
BK,3,0,2,5,0.2,1,1,2,100.0,0.0,-9999.0
BK,3,0,2,5,0.2,1,3,1,50.0,0.0,-9999.0
BK,3,0,2,5,0.2,1,3,2,100.0,0.0,-9999.0
BK,3,0,2,5,0.2,1,3,4,100.0,0.0,-9999.0
BK,3,0,2,5,0.2,1,3,5,100.0,0.0,-9999.0
BK,3,0,2,6,0.2,1,1,2,100.0,0.0,-9999.0
BK,3,0,2,6,0.2,1,3,1,50.0,0.0,-9999.0
BK,3,0,2,6,0.2,1,3,2,100.0,0.0,-9999.0
BK,3,0,2,6,0.2,1,3,4,100.0,0.0,-9999.0
BK,3,0,2,6,0.2,1,3,5,100.0,0.0,-9999.0
BK,3,0,1,1,1.0,1,1,2,50.0,0.0,-9999.0
BK,3,0,1,1,1.0,1,3,1,50.0,0.0,-9999.0
BK,3,0,1,1,1.0,1,3,2,200.0,0.0,-9999.0
BK,3,0,1,1,1.0,1,3,4,200.0,0.0,-9999.0
BK,3,0,1,1,1.0,1,3,5,200.0,0.0,-9999.0
